,v1,v2
0,0,3
1,0,55
2,0,56
3,0,64
4,0,73
5,0,145
6,0,160
7,0,183
8,0,224
9,0,236
10,0,237
11,0,270
12,0,293
13,0,319
14,0,380
15,0,419
16,1,87
17,1,98
18,1,222
19,1,436
20,3,341
21,3,342
22,5,49
23,5,51
24,5,163
25,5,225
26,5,310
27,5,311
28,5,361
29,5,372
30,5,438
31,6,41
32,6,260
33,6,414
34,7,240
35,7,277
36,7,355
37,7,386
38,7,401
39,8,43
40,8,48
41,8,113
42,8,162
43,8,174
44,8,180
45,8,207
46,8,371
47,9,63
48,9,72
49,9,93
50,9,100
51,9,173
52,9,204
53,9,333
54,10,91
55,10,125
56,10,156
57,10,160
58,10,214
59,10,267
60,10,448
61,11,1
62,11,12
63,11,15
64,11,21
65,11,31
66,11,34
67,11,40
68,11,50
69,11,83
70,11,106
71,11,141
72,11,189
73,11,199
74,11,202
75,11,250
76,11,316
77,11,318
78,11,363
79,11,405
80,11,412
81,11,418
82,12,3
83,12,56
84,12,86
85,12,103
86,12,108
87,12,164
88,12,171
89,12,364
90,12,426
91,13,48
92,13,312
93,14,93
94,14,155
95,14,190
96,14,195
97,14,219
98,14,225
99,14,340
100,14,374
101,15,13
102,15,17
103,15,48
104,15,74
105,15,98
106,15,103
107,15,105
108,15,114
109,15,216
110,15,356
111,16,13
112,16,29
113,16,43
114,16,279
115,16,369
116,16,407
117,16,449
118,17,48
119,17,84
120,17,105
121,17,191
122,17,258
123,17,337
124,17,356
125,18,68
126,18,331
127,18,443
128,19,5
129,19,42
130,19,57
131,19,93
132,19,116
133,19,119
134,19,134
135,19,143
136,19,211
137,19,230
138,19,311
139,19,324
140,19,447
141,20,319
142,21,3
143,21,29
144,21,40
145,21,74
146,21,107
147,21,126
148,21,133
149,21,199
150,21,200
151,21,203
152,21,212
153,21,222
154,21,251
155,21,254
156,21,265
157,21,343
158,21,358
159,22,18
160,22,127
161,22,137
162,22,182
163,22,326
164,23,28
165,23,39
166,23,91
167,23,94
168,23,104
169,23,120
170,23,128
171,23,132
172,23,140
173,23,160
174,23,188
175,23,214
176,23,239
177,23,276
178,23,291
179,23,305
180,23,312
181,23,388
182,23,406
183,23,411
184,23,433
185,23,448
186,24,36
187,24,61
188,24,73
189,24,79
190,24,80
191,24,93
192,24,121
193,24,122
194,24,123
195,24,130
196,24,157
197,24,159
198,24,185
199,24,193
200,24,229
201,24,259
202,24,283
203,24,294
204,24,306
205,24,345
206,24,365
207,25,44
208,25,84
209,25,113
210,25,183
