,v1,v2
0,0,430
1,0,560
2,0,618
3,0,710
4,1,33
5,1,76
6,1,234
7,1,527
8,2,181
9,2,354
10,2,516
11,2,541
12,2,573
13,2,755
14,3,9
15,3,96
16,3,779
17,5,12
18,5,153
19,5,363
20,5,405
21,5,418
22,5,917
23,5,1104
24,6,469
25,6,807
26,6,1082
27,7,2
28,7,15
29,7,334
30,8,182
31,8,339
32,8,554
33,8,591
34,8,897
35,8,1052
36,8,1098
37,8,1139
38,12,4
39,12,141
40,12,610
41,12,648
42,13,224
43,13,523
44,17,16
45,17,112
46,17,236
47,17,318
48,17,339
49,17,421
50,17,796
51,17,991
52,18,260
53,18,438
54,18,478
55,18,493
56,18,504
57,18,847
58,18,865
59,18,874
60,18,901
61,19,177
62,20,10
63,21,412
64,21,419
65,21,455
66,21,619
67,21,803
68,25,581
69,25,963
70,26,119
71,26,1038
72,27,368
73,28,59
74,28,144
75,28,696
76,30,1
77,30,5
78,30,24
79,30,418
80,30,568
81,30,1148
82,34,358
83,36,84
84,36,166
85,36,207
86,36,379
87,36,504
88,36,617
89,36,659
90,36,709
91,39,119
92,39,550
93,40,22
94,41,629
95,41,1120
96,42,434
97,42,449
98,43,1070
99,45,209
100,46,210
101,46,455
102,46,597
103,46,670
104,46,703
105,46,803
106,46,895
107,46,1125
108,49,311
109,49,714
110,51,490
111,52,22
112,52,548
113,53,1055
114,54,336
115,54,577
116,54,678
117,57,1124
118,58,199
119,59,249
120,60,62
121,61,32
122,64,93
123,64,315
124,64,550
125,64,576
126,64,1110
127,64,1170
128,65,488
129,66,446
130,66,904
131,66,1160
132,67,144
133,67,278
134,67,520
135,67,586
136,67,1026
137,68,291
138,68,435
139,68,535
140,69,786
141,69,970
142,70,24
143,70,454
144,70,462
145,70,806
146,70,862
147,70,928
148,70,1134
149,71,722
150,71,980
151,72,87
152,73,171
153,74,1084
154,74,1138
155,75,534
156,75,895
157,75,1154
158,77,368
159,78,100
160,79,54
161,79,352
162,79,475
163,79,499
164,79,546
165,79,605
166,79,759
167,79,805
168,79,810
169,79,820
170,79,852
171,79,1038
172,79,1049
173,79,1068
174,79,1111
175,80,801
176,81,750
177,83,11
178,85,143
179,86,231
180,86,392
181,86,462
182,88,80
183,88,252
184,89,407
185,89,537
186,90,23
187,91,48
188,91,62
189,91,141
190,91,170
191,91,972
192,93,537
193,97,109
194,97,392
195,97,416
196,97,736
197,99,172
198,99,228
199,99,279
200,99,294
201,99,449
202,99,742
203,101,34
204,101,302
205,101,329
206,102,13
207,102,201
208,102,566
209,103,358
210,103,359
211,104,1118
212,105,189
213,106,3
214,106,273
215,106,284
216,106,389
217,106,584
218,106,735
219,106,921
220,106,1117
221,108,98
222,110,115
223,110,1123
224,115,170
225,117,884
226,120,279
227,121,60
228,121,1158
229,123,816
230,125,524
231,125,1097
232,126,86
233,126,311
234,126,924
235,128,34
236,128,726
237,129,142
238,129,167
239,129,844
240,131,257
241,131,520
242,133,1125
243,133,1126
244,134,92
245,135,68
246,135,157
247,135,205
248,135,261
249,135,263
250,135,300
251,135,320
252,135,328
253,135,377
254,135,417
255,135,551
256,135,557
257,135,566
258,135,570
259,135,630
260,135,788
261,135,1170
262,136,432
263,137,86
264,137,147
265,137,202
266,137,300
267,137,504
268,138,784
269,140,209
270,140,218
271,140,650
272,142,47
273,142,295
274,142,503
275,145,99
276,145,294
277,145,313
278,146,728
279,147,231
280,147,503
281,147,557
282,147,803
283,147,1057
284,148,27
285,148,29
286,148,77
287,148,885
288,155,835
289,155,955
290,156,464
291,158,359
292,159,748
293,160,914
294,161,785
295,163,221
296,164,707
297,165,656
298,167,295
299,167,503
300,167,770
301,167,844
302,168,355
303,168,422
304,168,498
305,168,532
306,168,1057
307,169,519
308,169,885
309,172,742
310,172,753
311,173,1119
312,174,95
313,175,50
314,176,1113
315,176,1150
316,178,59
317,178,156
318,178,199
319,178,257
320,178,282
321,178,351
322,178,950
323,179,220
324,179,311
325,179,364
326,179,1163
327,180,73
328,180,697
329,183,313
330,184,94
331,185,229
332,185,255
333,187,196
334,188,212
335,188,327
336,188,345
337,192,936
338,192,1040
339,192,1071
340,193,135
341,193,197
342,193,226
343,193,300
344,193,327
345,193,377
346,195,400
347,197,888
348,200,51
349,200,1105
350,201,13
351,201,139
352,201,644
353,201,828
354,202,320
355,202,392
356,203,701
357,204,968
358,205,37
359,205,150
360,206,302
361,208,202
362,210,239
363,210,866
364,210,1161
365,211,760
366,212,227
367,212,411
368,212,440
369,212,632
370,212,801
371,213,744
372,215,220
373,215,311
374,215,372
375,215,894
376,215,1151
377,218,743
378,220,22
379,220,232
380,220,311
381,220,360
382,220,838
383,220,963
384,220,1121
385,222,676
386,223,177
387,223,1068
388,226,417
389,226,436
390,228,753
391,229,114
392,230,361
393,230,964
394,232,48
395,240,384
396,241,267
397,241,1156
398,243,244
399,243,245
400,243,585
401,247,1169
402,248,432
403,248,1116
404,251,1061
405,251,1107
406,252,788
407,253,190
408,254,38
409,254,119
410,254,177
411,254,522
412,254,1058
413,254,1124
414,256,127
415,256,1110
416,257,470
417,258,1054
418,260,468
419,260,804
420,262,718
421,263,14
422,263,150
423,263,320
424,263,406
425,263,429
426,263,435
427,263,788
428,263,830
429,263,839
430,264,156
431,264,1026
432,266,386
433,266,1094
434,267,972
435,269,227
436,269,263
437,269,290
438,269,320
439,269,468
440,269,477
441,269,595
442,269,788
443,269,801
444,270,38
445,271,870
446,271,946
447,272,511
448,272,845
449,272,893
450,272,933
451,272,1095
452,272,1109
453,273,9
454,273,474
455,273,482
456,273,604
457,273,915
458,273,926
459,273,930
460,274,148
461,274,740
462,276,1086
463,276,1146
464,277,651
465,277,913
466,277,947
467,277,1018
468,278,585
469,281,431
470,282,31
471,282,245
472,282,249
473,282,326
474,282,464
475,282,470
476,282,598
477,283,73
478,283,203
479,283,262
480,283,431
481,283,786
482,283,890
483,284,55
484,284,96
485,284,114
486,284,250
487,284,268
488,284,488
489,284,490
490,285,451
491,285,932
492,286,124
493,286,130
494,286,153
495,286,231
496,286,299
497,286,363
498,286,542
499,286,917
500,286,986
501,286,1078
502,287,243
503,287,278
504,287,351
505,288,132
506,288,767
507,289,328
508,290,227
509,290,496
510,290,801
511,292,1008
512,292,1088
513,293,589
514,294,742
515,295,503
516,300,320
517,300,557
518,300,630
519,304,712
520,306,426
521,306,586
522,308,820
523,310,60
524,310,91
525,310,115
526,310,143
527,310,189
528,310,196
529,310,232
530,310,267
531,310,662
532,311,360
533,312,476
534,312,1046
535,314,410
536,315,537
537,322,743
538,322,760
539,323,1087
540,324,294
541,324,747
542,327,235
543,327,320
544,327,436
545,327,632
546,327,718
547,327,788
548,327,888
549,329,34
550,329,103
551,329,158
552,329,358
553,329,476
554,329,628
555,330,191
556,332,29
557,332,94
558,332,263
559,332,279
560,332,628
561,332,1001
562,337,450
563,337,1092
564,338,757
565,339,157
566,339,305
567,339,422
568,339,454
569,339,735
570,339,895
571,340,38
572,342,221
573,342,227
574,343,198
575,344,820
576,345,411
577,345,436
578,346,467
579,346,1036
580,348,567
581,349,628
582,350,50
583,350,51
584,350,65
585,350,190
586,350,229
587,350,242
588,350,284
589,350,298
590,350,341
591,350,466
592,350,467
593,350,528
594,350,629
595,350,728
596,351,245
597,352,558
598,355,442
599,355,887
600,356,701
601,357,219
602,365,889
603,365,917
604,366,390
605,367,466
606,367,1034
607,371,1
608,371,30
609,371,70
610,372,360
611,372,860
612,375,743
613,376,12
614,376,70
615,376,86
616,376,91
617,376,231
618,376,303
619,376,369
620,376,373
621,376,392
622,376,454
623,376,462
624,376,517
625,376,548
626,376,553
627,376,660
628,376,986
629,376,1112
630,377,157
631,377,328
632,377,788
633,380,453
634,380,781
635,383,163
636,383,221
637,383,392
638,383,548
639,383,804
640,385,21
641,385,46
642,385,798
643,385,799
644,386,347
645,386,710
646,387,298
647,388,736
648,388,794
649,388,1092
650,391,86
651,391,97
652,391,376
653,391,671
654,391,1155
655,393,382
656,394,186
657,396,1058
658,397,29
659,398,1076
660,399,261
661,399,624
662,401,528
663,402,341
664,403,73
665,403,218
666,403,294
667,403,300
668,403,452
669,403,550
670,408,217
671,408,770
672,409,34
673,409,203
674,409,377
675,409,916
676,409,1110
677,413,463
678,414,154
679,415,498
680,417,14
681,417,107
682,417,139
683,417,535
684,417,567
685,423,252
686,424,127
687,425,27
688,425,68
689,425,89
690,425,93
691,425,158
692,425,211
693,425,228
694,425,919
695,439,335
696,439,465
697,439,984
698,443,83
699,443,243
700,443,282
701,443,305
702,443,549
703,443,586
704,443,598
705,443,696
706,443,776
707,443,789
708,444,205
709,444,485
710,444,576
711,446,124
712,446,700
713,447,1081
714,448,1106
715,452,171
716,452,557
717,452,742
718,452,743
719,457,715
720,457,907
721,458,473
722,458,1126
723,459,202
724,459,342
725,460,792
726,461,75
727,461,288
728,465,437
729,466,268
730,467,55
731,471,113
732,471,162
733,471,410
734,471,532
735,473,82
736,475,325
737,480,1119
738,485,37
739,487,262
740,487,431
741,489,23
742,489,1109
743,491,245
744,491,618
745,491,1083
746,494,307
747,494,356
748,494,737
749,494,916
750,494,1047
751,494,1136
752,495,543
753,495,562
754,497,280
755,497,316
756,499,593
757,499,700
758,500,77
759,500,103
760,500,172
761,500,186
762,500,191
763,500,322
764,500,382
765,500,400
766,500,452
767,500,485
768,500,570
769,500,898
770,500,916
771,500,919
772,500,970
773,502,442
774,502,839
775,504,462
776,504,630
777,505,1112
778,505,1121
779,505,1123
780,505,1156
781,505,1158
782,506,209
783,506,262
784,506,302
785,506,313
786,506,327
787,506,431
788,506,740
789,507,429
790,508,333
791,509,65
792,509,1100
793,510,578
794,510,1096
795,511,317
796,521,37
797,521,316
798,524,181
799,526,154
800,529,541
801,530,625
802,531,746
803,532,246
804,532,492
805,536,366
806,536,831
807,536,873
808,536,1116
809,538,965
810,540,255
811,540,584
812,540,1034
813,540,1036
814,540,1100
815,540,1105
816,540,1120
817,543,618
818,544,1062
819,545,640
820,546,1019
821,548,4
822,548,392
823,548,445
824,548,484
825,548,501
826,548,539
827,548,840
828,549,11
829,549,63
830,549,244
831,549,514
832,549,518
833,549,829
834,555,1128
835,562,301
836,562,618
837,563,363
838,563,986
839,566,139
840,566,157
841,566,225
842,566,378
843,566,381
844,566,630
845,569,203
846,569,711
847,570,37
848,570,107
849,570,194
850,570,261
851,570,291
852,570,328
853,570,557
854,570,912
855,570,956
856,571,417
857,571,795
858,571,828
859,571,889
860,572,113
861,574,15
862,574,216
863,574,237
864,574,362
865,574,370
866,574,441
867,574,735
868,574,896
869,575,32
870,575,301
871,575,305
872,575,347
873,575,481
874,575,580
875,575,974
876,579,243
877,579,426
878,581,234
879,582,633
880,582,923
881,583,83
882,584,3
883,584,9
884,586,11
885,586,585
886,590,662
887,592,805
888,595,14
889,595,496
890,596,5
891,596,86
892,596,286
893,596,376
894,596,563
895,596,1090
896,596,1132
897,605,513
898,613,1124
899,614,34
900,614,73
901,614,99
902,614,135
903,614,148
904,614,203
905,614,218
906,614,294
907,614,300
908,614,329
909,614,377
910,614,452
911,614,550
912,614,650
913,614,786
914,614,890
915,614,916
916,614,970
917,614,1110
918,616,352
919,620,220
920,620,311
921,621,1128
922,622,399
923,622,800
924,622,873
925,623,374
926,623,774
927,626,395
928,627,149
929,629,250
930,633,235
931,634,218
932,634,650
933,635,238
934,636,86
935,636,220
936,636,311
937,636,376
938,636,924
939,637,249
940,637,404
941,637,710
942,639,233
943,643,315
944,643,758
945,645,374
946,646,99
947,646,294
948,650,94
949,650,211
950,650,218
951,650,322
952,650,451
953,650,743
954,653,265
955,657,73
956,657,203
957,657,786
958,657,890
959,660,539
960,661,1057
961,663,502
962,664,849
963,666,463
964,666,512
965,666,812
966,671,416
967,676,76
968,679,2
969,679,7
970,679,574
