,v1,v2
0,0,1
1,0,55
2,0,178
3,0,336
4,0,426
5,2,216
6,2,353
7,4,61
8,4,69
9,4,205
10,4,229
11,5,351
12,5,435
13,6,352
14,6,433
15,8,270
16,11,21
17,11,46
18,11,78
19,11,238
20,12,357
21,13,261
22,13,354
23,13,491
24,15,9
25,15,28
26,15,40
27,15,92
28,15,125
29,15,150
30,15,165
31,15,190
32,15,219
33,15,248
34,15,263
35,15,345
36,15,400
37,15,403
38,17,107
39,17,168
40,19,20
41,19,75
42,19,79
43,19,157
44,19,183
45,22,29
46,22,32
47,22,56
48,22,61
49,22,134
50,22,139
51,22,176
52,22,318
53,22,367
54,22,370
55,25,4
56,25,61
57,25,69
58,25,205
59,25,229
60,25,429
61,28,354
62,29,372
63,31,21
64,31,238
65,31,299
66,31,402
67,35,26
68,35,63
69,35,81
70,35,95
71,35,99
72,35,107
73,35,113
74,35,317
75,35,418
76,35,448
77,35,451
78,36,188
79,36,275
80,36,363
81,36,385
82,37,1
83,37,3
84,37,74
85,37,137
86,37,196
87,37,481
88,38,147
89,38,174
90,38,260
91,38,365
92,42,136
93,42,195
94,42,200
95,42,300
96,42,496
97,43,12
98,43,18
99,43,23
100,43,39
101,43,67
102,43,68
103,43,71
104,43,94
105,43,114
106,43,154
107,43,179
108,43,199
109,43,209
110,43,243
111,43,245
112,43,251
113,43,253
114,43,276
115,43,320
116,43,343
117,43,359
118,43,372
119,43,379
120,43,381
121,43,399
122,43,423
123,43,425
124,43,432
125,43,467
126,43,468
127,43,478
128,43,497
129,43,503
130,45,285
131,45,319
132,45,339
133,45,348
134,46,142
135,46,166
136,49,417
137,50,73
138,50,80
139,50,108
140,50,114
141,50,132
142,50,139
143,50,213
144,50,282
145,50,312
146,50,417
147,50,426
148,50,446
149,51,134
150,51,225
151,51,233
152,51,320
153,52,32
154,52,115
155,52,283
156,52,405
157,52,480
158,53,289
159,55,138
160,55,195
161,55,244
162,55,280
163,55,362
164,58,57
165,58,124
166,58,176
167,58,194
168,58,264
169,58,462
170,59,265
171,59,287
172,59,395
173,64,69
174,64,109
175,64,152
176,65,37
177,65,138
178,65,155
179,65,156
180,65,178
181,65,195
182,65,196
183,65,242
184,65,244
185,65,269
186,65,280
187,65,305
188,65,311
189,65,315
190,65,362
191,65,377
192,65,383
193,65,412
194,66,2
195,66,5
196,66,6
197,66,11
198,66,22
199,66,52
200,66,58
201,66,64
202,66,89
203,66,96
204,66,109
205,66,134
206,66,142
207,66,172
208,66,183
209,66,205
210,66,212
211,66,252
212,66,255
213,66,324
214,66,367
215,66,369
216,66,420
217,66,465
218,66,489
219,67,423
220,67,425
221,67,503
222,73,80
223,73,114
224,73,139
225,73,146
226,73,163
227,73,175
228,73,221
229,73,268
230,73,272
231,73,290
232,73,291
233,73,344
234,73,408
235,75,3
236,75,100
237,75,103
238,75,162
239,75,181
240,75,440
241,76,32
242,76,52
243,76,56
244,76,58
245,76,61
246,76,69
247,76,109
248,76,121
249,76,134
250,76,153
251,76,183
252,76,205
253,76,229
254,76,246
255,76,252
256,76,255
257,76,264
258,76,324
259,76,367
260,77,11
261,77,62
262,77,181
263,77,238
264,77,299
265,78,34
266,78,66
267,78,89
268,78,96
269,78,341
270,78,420
271,79,183
272,79,255
273,79,292
274,79,358
275,81,17
276,81,26
277,81,95
278,81,99
279,81,113
280,81,171
281,81,232
282,81,240
283,81,296
284,81,440
285,81,483
286,83,56
287,83,324
288,84,32
289,84,52
290,85,127
291,85,134
292,85,233
293,87,429
294,88,4
295,88,11
296,88,20
297,88,46
298,88,89
299,88,134
300,92,261
301,94,12
302,94,18
303,94,39
304,94,71
305,98,187
306,98,323
307,102,35
308,102,167
309,102,208
310,102,346
311,102,347
312,102,374
313,102,409
314,104,183
315,104,229
316,104,255
317,104,264
318,104,300
319,104,442
320,104,477
