,index_in_df,id,size,cluster
0,121,(w10-gp(w6-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num3)-tp6-num1),10,0
1,124,(w10-gp(w9-gp(w15-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp15-num1)-tp6-num1)-tp6-num3)-tp6-num1),10,0
2,455,(w3-gp(w7-gp(w5-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num3)-tp6-num1)-tp24-num1),10,0
3,117,(w10-gp(w6-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num1)-tp17-num1),10,1
4,734,(w8-gp(w2-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp17-num1),10,1
5,837,(w10-gp(w10-gp(w6-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num1)-tp6-num3)-tp6-num1)-tp17-num1),11,1
6,1105,(w15-gp(w8-gp(w2-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp17-num1)-tp6-num1),11,1
7,1463,(w1-gp(w15-gp(w8-gp(w2-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp17-num1)-tp6-num1)-tp6-num1),12,1
8,1526,(w10-gp(w5-gp(w14-gp(w14-gp(w15-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp15-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num1)-tp17-num1),12,1
9,1632,(w12-gp(w8-gp(w8-gp(w2-gp(w8-gp(w14-gp(w2-gp(w3-gp(w3-gp(w14-gp(w1-gp55-tp3-num1)-tp9-num1)-tp19-num1)-tp3-num1)-tp3-num1)-tp3-num1)-tp6-num2)-tp6-num1)-tp6-num2)-tp6-num1)-tp17-num1),12,1
