,v1,v2
0,0,344
1,0,657
2,0,666
3,0,673
4,0,677
5,0,698
6,1,630
7,2,12
8,2,19
9,2,34
10,2,60
11,2,61
12,2,62
13,2,71
14,2,90
15,2,94
16,2,97
17,2,138
18,2,147
19,2,174
20,2,190
21,2,191
22,2,211
23,2,244
24,2,277
25,2,300
26,2,314
27,2,409
28,2,444
29,2,462
30,2,490
31,2,526
32,2,581
33,2,652
34,2,657
35,2,722
36,2,726
37,3,26
38,3,584
39,6,125
40,6,169
41,6,209
42,6,220
43,6,250
44,6,261
45,6,340
46,6,341
47,6,350
48,6,452
49,6,601
50,6,641
51,8,290
52,9,25
53,9,35
54,9,120
55,9,218
56,9,318
57,9,324
58,9,466
59,9,539
60,11,112
61,12,147
62,12,314
63,12,344
64,12,532
65,12,614
66,12,714
67,13,136
68,13,460
69,13,694
70,14,195
71,14,439
72,14,630
73,15,65
74,15,75
75,15,149
76,15,229
77,15,230
78,15,271
79,15,352
80,15,397
81,15,616
82,15,625
83,16,136
84,16,346
85,16,694
86,17,576
87,17,616
88,17,696
89,18,460
90,19,94
91,19,138
92,19,204
93,19,355
94,19,444
95,19,526
96,19,652
97,19,722
98,20,65
99,20,689
100,21,26
101,21,564
102,22,184
103,22,237
104,22,346
105,22,693
106,22,694
107,24,25
108,24,28
109,24,74
110,24,176
111,24,210
112,25,120
113,27,35
114,27,119
115,27,250
116,27,286
117,27,388
118,27,711
119,28,38
120,29,73
121,29,76
122,29,108
123,29,125
124,29,139
125,29,151
126,29,152
127,29,169
128,29,334
129,29,431
130,29,489
131,29,507
132,29,519
133,29,521
134,29,575
135,29,601
136,29,612
137,29,629
138,29,735
139,30,41
140,30,47
141,30,167
142,30,204
143,30,248
144,30,329
145,30,348
146,30,363
147,30,393
148,30,422
149,30,442
150,30,450
151,30,529
152,30,730
153,31,94
154,31,401
155,31,526
156,31,603
157,31,665
158,33,82
159,33,143
160,33,223
161,33,303
162,33,319
163,34,19
164,34,204
165,34,227
166,34,244
167,34,607
168,34,648
169,34,664
170,34,666
171,35,19
172,35,355
173,35,539
174,36,548
175,38,64
176,38,210
177,38,319
178,39,100
179,39,107
180,39,154
181,39,203
182,39,496
183,41,47
184,41,393
185,41,422
186,41,503
187,41,578
188,41,730
189,42,207
190,42,241
191,42,356
192,42,464
193,42,670
194,46,2
195,46,61
196,46,184
197,46,191
198,46,237
199,46,300
200,46,460
201,47,4
202,48,454
203,48,465
204,49,603
205,49,652
206,50,424
207,52,438
208,52,642
209,53,79
210,53,125
211,53,350
212,54,73
213,54,114
214,54,226
215,54,265
216,54,272
217,54,369
218,54,431
219,54,486
220,54,608
221,54,611
222,54,612
223,56,4
224,56,47
225,56,348
226,56,363
227,56,464
228,56,640
229,57,89
230,57,102
231,57,146
232,57,339
233,57,394
234,57,628
235,58,65
236,58,200
237,58,302
238,58,576
239,58,632
240,60,23
241,60,49
242,60,59
243,60,451
244,60,545
245,60,603
246,60,617
247,60,652
248,61,444
249,62,19
250,62,434
251,62,662
252,62,677
253,62,722
254,63,54
255,63,272
256,64,67
257,64,74
258,64,281
259,64,317
260,64,365
261,65,669
262,66,317
263,68,520
264,69,4
265,69,51
266,69,67
267,69,107
268,69,276
269,69,345
270,69,354
271,69,427
272,69,445
273,69,456
274,69,525
275,69,568
276,70,57
277,70,89
278,70,273
279,70,541
280,70,552
281,71,38
282,71,343
283,71,448
284,71,665
285,71,673
286,72,387
287,72,654
288,73,26
289,73,392
290,73,653
291,73,687
292,74,365
293,74,654
294,75,264
295,75,397
296,75,435
297,75,522
298,75,708
299,76,26
300,76,44
301,76,334
302,77,345
303,78,69
304,78,77
305,78,79
306,78,103
307,78,370
308,80,215
309,80,240
310,80,272
311,80,707
312,80,738
313,81,404
314,82,548
315,83,357
316,84,208
317,84,247
318,84,289
319,84,494
320,84,516
