,v1,v2
0,1,1701
1,2,474
2,2,490
3,2,770
4,2,869
5,2,876
6,3,14
7,3,428
8,4,5
9,4,17
10,4,72
11,4,674
12,5,19
13,5,903
14,6,4
15,6,11
16,6,965
17,6,1658
18,7,135
19,7,210
20,7,1662
21,8,839
22,8,858
23,9,149
24,9,493
25,10,12
26,10,72
27,10,463
28,10,613
29,10,1796
30,11,5
31,11,554
32,12,17
33,12,128
34,12,168
35,12,175
36,12,197
37,12,247
38,12,499
39,12,501
40,12,525
41,12,934
42,12,1031
43,12,1219
44,12,1522
45,12,1796
46,13,462
47,13,674
48,13,1796
49,15,230
50,15,297
51,16,3
52,16,465
53,16,951
54,16,1873
55,16,1885
56,18,303
57,18,707
58,18,903
59,18,926
60,20,217
61,20,718
62,20,1662
63,21,25
64,21,774
65,21,845
66,21,951
67,22,13
68,22,15
69,22,23
70,22,27
71,22,353
72,23,674
73,23,728
74,24,309
75,24,350
76,24,1800
77,25,138
78,25,724
79,25,892
80,25,925
81,25,1096
82,25,1168
83,25,1201
84,26,135
85,26,248
86,26,625
87,26,718
88,27,728
89,27,774
90,27,1873
91,28,32
92,28,935
93,28,957
94,29,1
95,29,53
96,29,82
97,29,230
98,29,406
99,29,1078
100,29,1891
101,30,9
102,31,496
103,31,908
104,31,1867
105,31,1886
106,32,465
107,32,957
108,32,1856
109,32,1862
110,33,13
111,33,944
112,33,1658
113,34,40
114,34,74
115,34,445
116,34,448
117,35,23
118,35,62
119,35,1658
120,36,932
121,36,1345
122,37,848
123,38,3
124,38,76
125,39,53
126,39,1078
127,39,1906
128,40,26
129,40,320
130,40,886
131,42,31
132,42,496
133,42,1880
134,43,218
135,43,417
136,43,1101
137,43,1107
138,44,1095
139,45,204
140,45,501
141,45,552
142,46,0
143,46,41
144,46,212
145,46,306
146,46,863
147,46,946
148,46,1245
149,46,1854
150,47,122
151,48,9
152,48,184
153,48,382
154,49,278
155,49,366
156,49,1165
157,49,1610
158,51,189
159,51,347
160,51,746
161,51,984
162,52,15
163,52,406
164,53,440
165,53,793
166,53,954
167,53,1078
168,54,42
169,54,80
170,54,944
171,55,296
172,55,368
173,55,1870
174,56,27
175,56,1905
176,57,305
177,57,810
178,57,998
179,58,16
180,58,21
181,58,27
182,58,728
183,58,774
184,58,1364
185,58,1873
186,60,1189
187,62,76
188,62,554
189,63,176
190,63,1902
191,65,15
192,65,29
193,65,52
194,65,66
195,65,406
196,66,36
197,66,82
198,66,230
199,66,297
200,67,480
201,67,605
202,67,1490
203,68,28
204,68,172
205,68,1905
206,69,263
207,69,1365
208,70,468
209,73,29
210,73,39
211,73,406
212,74,7
213,74,20
214,74,26
215,74,110
216,74,215
217,75,4
218,75,10
219,75,13
220,75,85
221,75,462
222,75,674
223,75,1796
224,75,1869
225,77,347
226,77,1804
227,78,194
228,78,684
229,78,755
230,78,890
231,78,1346
232,79,2
233,79,196
234,79,869
235,80,11
236,80,31
237,80,85
238,80,462
239,80,496
240,80,554
241,80,944
242,80,1872
243,80,1882
244,80,1891
245,80,1916
246,81,2
247,81,157
248,81,310
249,81,445
250,81,560
251,81,563
252,81,869
253,82,230
254,82,440
255,82,927
256,82,932
257,83,898
258,84,871
259,85,5
260,85,460
261,85,462
262,85,463
263,85,908
264,85,927
265,85,1653
266,85,1885
267,87,108
268,87,134
269,87,181
270,87,1648
271,88,872
272,89,43
273,89,258
274,89,659
275,89,708
276,90,299
277,90,548
278,90,933
279,91,229
280,91,230
281,91,323
282,91,871
283,92,481
284,92,605
285,92,815
286,92,822
287,93,771
288,93,1179
289,94,948
290,96,155
291,96,1032
292,98,137
293,98,694
294,98,701
295,98,1372
296,100,1047
297,100,1852
298,101,499
299,101,1002
300,101,1039
301,101,1064
302,102,95
303,102,229
304,102,345
305,102,532
306,102,932
307,102,1293
308,103,70
309,103,115
310,103,143
311,103,161
312,103,176
313,103,178
314,103,189
315,103,216
316,103,270
317,103,309
318,103,347
319,103,350
320,103,375
321,103,392
322,103,542
323,103,568
324,103,634
325,103,743
326,103,746
327,103,828
328,103,878
329,103,952
330,103,984
331,103,1198
332,103,1341
333,103,1496
334,103,1497
335,103,1789
336,103,1800
337,104,141
338,104,784
339,104,1576
340,104,1726
341,105,885
342,107,386
343,107,510
344,109,57
345,109,244
346,109,384
347,109,429
348,109,928
349,110,210
350,110,215
351,110,217
352,110,625
353,111,484
354,111,1784
355,111,1807
356,111,1823
357,112,157
358,112,310
359,112,869
360,113,1074
361,115,859
362,117,13
363,117,33
364,117,75
365,117,80
366,117,944
367,117,1658
368,119,650
369,120,204
370,120,595
371,120,1768
372,120,1798
373,121,271
374,121,1596
375,122,150
376,122,203
377,122,333
378,122,523
379,125,597
380,125,747
381,125,996
382,126,164
383,126,1242
384,127,919
385,128,19
386,128,168
387,128,175
388,128,197
389,128,302
390,128,383
391,128,463
392,128,574
393,128,757
394,128,881
395,128,1074
396,128,1084
397,128,1090
398,128,1108
399,128,1124
400,129,177
401,129,576
402,129,702
403,129,936
404,130,220
405,130,398
406,130,514
407,130,812
408,130,1208
409,131,150
410,131,1235
411,132,27
412,132,56
413,132,58
414,132,172
415,132,1905
416,133,64
417,133,344
418,133,875
419,133,1597
420,133,1598
421,133,1610
422,136,747
423,136,1797
424,137,426
425,139,182
426,139,328
427,139,1174
428,140,88
429,141,203
430,141,577
431,142,246
432,142,344
433,142,511
434,142,515
435,142,930
436,142,1566
437,143,354
438,143,831
439,144,138
440,144,1169
441,145,1356
442,145,1942
443,147,420
444,147,872
445,147,1154
446,148,624
447,151,701
448,153,605
449,153,1275
450,154,417
451,154,1109
452,155,902
453,156,534
454,157,193
455,158,396
456,159,99
457,159,255
458,160,553
459,160,1379
460,161,156
461,161,685
462,162,343
463,162,930
464,162,1882
465,163,946
466,165,606
467,165,743
468,166,44
469,166,69
470,166,1008
471,167,561
472,167,1438
473,169,45
474,169,166
475,169,312
476,169,495
477,169,850
478,170,498
479,171,1177
480,172,16
481,172,32
482,172,38
483,172,76
484,172,957
485,172,1873
486,172,1905
487,172,1916
488,173,566
489,173,911
490,173,1170
491,173,1572
492,174,187
493,176,305
494,176,1664
495,177,1041
496,178,44
497,179,87
498,179,134
499,179,226
500,179,329
501,179,411
502,179,553
503,179,684
504,179,699
505,179,942
506,180,105
507,182,1795
508,183,118
509,183,1127
510,183,1137
511,184,149
512,186,124
513,186,289
514,186,534
515,186,846
516,186,969
517,186,1083
518,186,1089
519,186,1095
520,186,1136
521,186,1140
522,186,1189
523,188,148
524,188,416
525,189,379
526,189,857
527,189,1136
528,190,226
529,190,288
530,190,500
531,190,814
532,191,1208
533,194,116
534,195,137
535,195,492
536,195,944
537,195,1773
538,195,1877
539,196,490
540,198,367
541,198,520
542,198,590
543,198,597
544,198,630
545,198,747
546,198,804
547,198,828
548,198,897
549,198,978
550,198,996
551,200,144
552,200,755
553,200,1670
554,201,100
555,201,1180
556,201,1593
557,201,1760
558,202,388
559,202,470
560,202,482
561,202,1582
562,204,513
563,204,654
564,205,1179
565,206,183
566,206,1328
567,208,144
568,208,172
569,208,194
570,208,273
571,208,359
572,208,450
573,208,451
574,208,457
575,208,527
576,208,561
577,208,634
578,208,657
579,208,670
580,208,688
581,208,755
582,208,890
583,208,897
584,208,1027
585,208,1122
586,208,1366
587,208,1441
588,208,1670
589,208,1905
590,209,88
591,211,223
592,211,1246
593,211,1667
594,211,1810
595,213,435
596,214,178
597,216,1698
598,219,115
599,219,347
600,219,350
601,219,1102
602,220,146
603,220,212
604,220,398
605,220,514
606,221,365
607,222,1804
608,222,1812
609,223,50
610,223,586
611,224,392
612,224,1732
613,225,347
614,226,134
615,226,942
616,228,869
617,231,187
618,231,761
619,232,1057
620,233,93
621,233,242
622,233,696
623,234,819
624,234,1178
625,235,241
626,235,269
627,235,278
628,235,585
629,235,1298
630,235,1586
631,235,1860
632,235,1876
633,236,815
634,236,889
635,236,1490
636,236,1552
637,236,1595
638,237,404
639,238,890
640,239,574
641,240,484
642,240,1784
643,241,343
644,241,442
645,242,771
646,243,185
647,243,655
648,244,247
649,244,998
650,246,438
651,246,466
652,246,509
653,246,511
654,246,1566
655,249,514
656,249,896
657,251,694
658,252,757
659,253,105
660,253,585
661,253,874
662,253,1597
663,254,523
664,256,271
665,256,1762
666,256,1815
667,257,536
