,v1,v2
0,1,223
1,1,348
2,1,499
3,1,704
4,1,735
5,1,820
6,1,901
7,1,1087
8,2,287
9,2,853
10,2,1227
11,2,1439
12,3,351
13,3,579
14,3,703
15,4,17
16,4,106
17,4,185
18,4,837
19,4,1442
20,5,186
21,5,519
22,5,619
23,6,679
24,7,57
25,7,115
26,7,118
27,7,147
28,7,168
29,7,239
30,7,241
31,7,242
32,7,319
33,7,358
34,7,487
35,7,506
36,7,690
37,7,1173
38,8,171
39,8,175
40,8,248
41,8,250
42,8,279
43,8,298
44,8,304
45,8,319
46,8,358
47,8,478
48,8,1062
49,8,1192
50,9,1373
51,9,1512
52,10,472
53,11,469
54,12,1014
55,12,1144
56,13,165
57,13,194
58,13,252
59,13,257
60,13,270
61,13,543
62,14,187
63,14,204
64,15,568
65,15,973
66,15,1032
67,15,1326
68,16,230
69,16,331
70,16,561
71,16,629
72,16,671
73,16,688
74,16,720
75,16,1010
76,16,1042
77,16,1493
78,17,245
79,17,295
80,17,314
81,17,385
82,17,755
83,18,188
84,18,931
85,18,940
86,18,1480
87,19,691
88,19,1357
89,19,1368
90,19,1529
91,20,213
92,20,524
93,20,999
94,20,1000
95,20,1094
96,21,476
97,23,25
98,23,321
99,23,327
100,23,333
101,23,401
102,23,411
103,23,510
104,23,516
105,23,562
106,23,640
107,23,694
108,23,1011
109,23,1427
110,23,1501
111,24,535
112,24,837
113,24,862
114,24,1442
115,25,321
116,25,327
117,25,333
118,25,401
119,25,411
120,25,510
121,25,516
122,25,562
123,25,640
124,25,1427
125,26,263
126,26,626
127,26,1184
128,27,577
129,28,45
130,28,192
131,28,924
132,29,1101
133,30,282
134,30,395
135,30,1029
136,30,1324
137,31,153
138,31,244
139,31,769
140,32,321
141,32,382
142,32,391
143,32,510
144,32,730
145,33,946
146,34,977
147,34,1000
148,34,1314
149,35,91
150,36,564
151,37,414
152,37,623
153,37,1002
154,37,1192
155,37,1499
156,38,271
157,38,298
158,38,511
159,40,457
160,40,726
161,41,369
162,42,1419
163,43,832
164,44,155
165,44,371
166,44,418
167,44,462
168,44,614
169,44,1017
170,44,1290
171,45,537
172,46,606
173,46,942
174,46,1175
175,47,375
176,47,509
177,47,522
178,47,1178
179,48,170
180,48,339
181,48,379
182,49,629
183,49,1042
184,49,1493
185,50,511
186,51,161
187,51,448
188,52,618
189,52,1287
190,53,419
191,55,147
192,55,248
193,55,370
194,55,511
195,55,623
196,55,639
197,55,1002
198,56,1456
199,58,1479
200,59,218
201,59,1085
202,60,28
203,60,45
204,60,192
205,60,537
206,60,776
207,60,938
208,61,107
209,61,183
210,61,224
211,61,266
212,61,271
213,61,319
214,61,358
215,61,364
216,61,414
217,61,639
218,61,879
219,61,891
220,61,1033
221,63,245
222,63,288
223,63,313
224,63,355
225,63,651
226,63,712
227,63,714
228,63,824
229,63,952
230,64,174
231,64,383
232,64,1391
233,65,453
234,65,496
235,65,1020
236,67,362
237,67,372
238,67,607
239,67,650
240,67,754
241,67,1267
242,67,1282
243,68,617
244,68,742
245,68,1143
246,69,12
247,69,721
248,69,1144
249,71,656
250,71,1218
251,72,158
252,72,669
253,72,834
254,73,655
255,73,1059
256,74,170
257,74,734
258,75,177
259,75,643
260,75,735
261,75,901
262,75,988
263,75,1026
264,76,34
265,76,611
266,77,388
267,78,11
268,78,79
269,78,158
270,78,178
271,78,315
272,78,345
273,78,353
274,78,359
275,78,479
276,78,520
277,78,545
278,78,578
279,78,593
280,78,608
281,78,711
282,78,749
283,78,771
284,78,890
285,78,1060
286,78,1124
287,78,1135
288,78,1417
289,78,1538
290,79,315
291,79,345
292,79,749
293,80,485
294,80,684
295,81,316
296,82,151
297,82,193
298,82,757
299,82,798
300,82,996
301,82,1490
302,84,264
303,85,120
304,85,259
305,85,488
306,85,801
307,85,1302
308,87,513
309,87,1384
310,88,286
311,88,351
312,88,1109
313,89,628
314,89,1282
315,89,1541
316,90,6
317,90,492
318,92,315
319,92,449
320,92,520
321,92,711
322,92,1124
323,92,1276
324,93,1333
325,94,588
326,94,675
327,94,1042
328,95,573
329,95,840
330,95,935
331,96,139
332,96,418
333,96,532
334,96,1017
335,97,777
336,97,975
337,98,343
338,98,442
339,98,857
340,98,1234
341,98,1238
342,99,573
343,99,935
344,100,465
345,100,717
346,100,931
347,100,1328
348,101,34
349,101,264
350,101,524
351,101,564
352,101,610
353,101,611
354,101,637
355,101,999
356,101,1000
357,101,1012
358,101,1094
359,101,1208
360,102,164
361,102,672
362,103,418
363,103,1017
364,104,32
365,104,364
366,104,382
367,105,766
368,105,818
369,105,1339
370,106,295
371,106,698
372,106,755
373,106,837
374,106,1097
375,106,1377
376,107,23
377,107,266
378,107,640
379,107,879
380,107,891
381,107,1501
382,108,6
383,108,492
384,109,399
385,109,417
386,110,62
387,110,205
388,110,391
389,110,411
390,110,500
391,110,562
392,110,598
393,110,730
394,110,1334
395,110,1389
396,110,1420
397,110,1427
398,110,1473
399,110,1482
400,110,1509
401,111,127
402,112,59
403,112,214
404,112,604
405,112,615
406,112,643
407,112,648
408,112,914
409,112,1164
410,112,1553
411,113,577
412,113,1293
413,113,1350
414,114,324
415,114,340
416,114,677
417,116,318
418,116,340
419,116,750
420,117,88
421,117,320
422,117,801
423,117,1270
424,119,31
425,119,174
426,119,1391
427,120,1109
428,120,1358
429,121,1502
430,122,1172
431,123,23
432,123,32
433,123,227
434,123,382
435,123,640
436,123,670
437,123,916
438,123,989
439,123,1294
440,124,548
441,125,139
442,125,336
443,125,686
444,125,1077
445,126,41
446,126,368
447,126,369
448,126,738
449,127,289
450,128,902
451,129,249
452,129,259
453,129,459
454,129,488
455,129,632
456,129,770
457,129,784
458,129,1287
459,130,380
460,131,59
461,131,112
462,131,171
463,131,409
464,131,482
465,131,639
466,132,216
467,132,363
468,132,1325
469,133,427
470,133,974
471,133,1013
472,133,1037
473,133,1393
474,134,174
475,134,417
476,134,899
477,134,1487
478,135,393
479,135,897
480,135,956
481,135,1370
482,137,370
483,139,686
484,140,309
485,141,657
486,141,661
487,141,670
488,141,989
489,141,1021
490,141,1284
491,142,370
492,142,559
493,143,419
