,cluster,set_median_graph_index,set_median_graph_pattern_id
0,0,3669,(w9-gp(w10-gp(w3-gp(w8-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp4-num1)-tp4-num1)-tp4-num1)
1,1,2054,(w14-gp(w4-gp(w14-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp21-num1)-tp13-num1)-tp4-num1)-tp4-num1)
2,2,1490,(w8-gp(w8-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num1)-tp77-num1)
3,3,2330,(w4-gp(w6-gp(w4-gp(w1-gp(w15-gp(w4-gp(w11-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp79-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num2)-tp4-num1)
4,4,133,(w1-gp(w8-gp(w12-gp(w4-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp10-num1)-tp13-num1)-tp21-num1)-tp13-num1)-tp10-num1)
5,5,2281,(w3-gp(w9-gp(w14-gp(w13-gp(w9-gp(w10-gp(w10-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp7-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp21-num1)-tp4-num1)-tp77-num1)-tp10-num1)
6,6,379,(w12-gp(w11-gp(w15-gp(w6-gp(w12-gp(w6-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp99-num1)-tp13-num1)-tp40-num1)-tp10-num1)-tp13-num1)-tp13-num1)-tp4-num1)
7,7,1332,(w7-gp(w14-gp(w10-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp21-num1)-tp10-num1)-tp4-num1)
8,8,2598,(w8-gp(w6-gp(w2-gp(w14-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp21-num1)-tp16-num1)-tp10-num1)-tp10-num1)
9,9,2375,(w5-gp(w2-gp(w14-gp(w13-gp(w11-gp(w6-gp(w12-gp(w13-gp(w5-gp(w1-gp27-tp16-num1)-tp16-num1)-tp3810-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp13-num1)-tp10-num1)-tp4-num3)-tp4-num1)
10,10,732,(w15-gp(w9-gp(w14-gp(w4-gp(w6-gp(w9-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp1-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp13-num1)-tp10-num1)-tp36-num1)
11,11,349,(w11-gp(w6-gp(w4-gp(w6-gp(w7-gp(w7-gp(w10-gp(w12-gp(w1-gp27-tp13-num1)-tp10-num1)-tp6-num1)-tp13-num1)-tp13-num1)-tp4-num2)-tp13-num1)-tp10-num1)-tp1-num1)
12,12,1382,(w8-gp(w1-gp(w10-gp(w8-gp(w15-gp(w15-gp(w13-gp(w5-gp(w1-gp27-tp16-num1)-tp16-num1)-tp375-num1)-tp13-num1)-tp13-num1)-tp4-num1)-tp13-num1)-tp10-num1)-tp4-num2)
