,v1,v2
0,2,569
1,2,703
2,2,1287
3,3,456
4,3,984
5,3,1683
6,4,128
7,4,382
8,4,837
9,4,857
10,4,981
11,4,1028
12,5,226
13,5,566
14,5,1250
15,6,881
16,6,1238
17,6,1723
18,8,74
19,8,177
20,8,222
21,8,493
22,8,611
23,8,813
24,9,329
25,9,584
26,9,814
27,9,1050
28,11,703
29,12,23
30,12,57
31,12,83
32,12,89
33,12,93
34,12,177
35,12,316
36,12,455
37,12,466
38,12,519
39,12,535
40,12,615
41,12,758
42,12,951
43,12,997
44,12,1216
45,12,1522
46,12,1547
47,13,812
48,17,20
49,17,1076
50,18,131
51,18,802
52,20,177
53,20,196
54,20,468
55,20,795
56,20,836
57,20,1076
58,22,228
59,22,763
60,22,877
61,23,89
62,24,90
63,24,250
64,24,262
65,24,413
66,24,419
67,24,463
68,24,641
69,24,869
70,24,969
71,24,1366
72,24,1593
73,26,248
74,26,768
75,26,966
76,26,986
77,26,1163
78,26,1743
79,27,157
80,27,166
81,27,215
82,27,224
83,27,225
84,27,246
85,27,291
86,27,327
87,27,346
88,27,364
89,27,510
90,27,524
91,27,536
92,27,558
93,27,701
94,27,761
95,27,843
96,27,848
97,27,866
98,27,924
99,27,1063
100,27,1068
101,27,1088
102,27,1164
103,27,1276
104,27,1304
105,27,1426
106,31,210
107,31,800
108,31,868
109,31,885
110,31,1090
111,32,639
112,32,1047
113,33,260
114,34,737
115,35,193
116,35,944
117,36,148
118,36,218
119,36,1127
120,36,1702
121,37,228
122,37,276
123,37,508
124,37,595
125,37,611
126,37,752
127,37,844
128,38,185
129,38,267
130,38,287
131,38,365
132,38,421
133,38,489
134,38,496
135,38,528
136,38,1072
137,38,1232
138,38,1248
139,38,1279
140,38,1577
141,38,1588
142,38,1662
143,38,1730
144,39,488
145,39,1294
146,40,1091
147,40,1425
148,41,430
149,42,432
150,43,84
151,43,243
152,43,267
153,43,421
154,43,496
155,43,679
156,43,764
157,43,867
158,43,978
159,43,1343
160,43,1719
161,44,228
162,44,1121
163,44,1244
164,44,1587
165,45,531
166,46,854
167,46,1526
168,47,228
169,47,840
170,48,132
171,48,214
172,48,358
173,48,534
174,48,627
175,48,740
176,48,1115
177,49,9
178,50,242
179,50,255
180,50,464
181,50,1060
182,50,1673
183,52,24
184,52,262
185,53,3
186,54,229
187,54,304
188,54,334
189,54,427
190,54,572
191,54,1073
192,54,1110
193,54,1160
194,55,97
195,55,207
196,55,316
197,55,375
198,55,530
199,55,532
200,58,562
201,59,483
202,59,524
203,59,848
204,59,1082
205,60,170
206,60,388
207,60,490
208,62,18
209,62,190
210,62,648
211,62,716
212,62,802
213,62,1026
214,63,154
215,63,188
216,63,251
217,63,1679
218,64,616
219,64,1005
220,65,116
221,65,168
222,65,199
223,65,257
224,65,438
225,65,507
226,66,167
227,66,209
228,66,832
229,66,1146
230,66,1239
231,66,1527
232,67,13
233,67,18
234,67,57
235,67,73
236,67,105
237,67,187
238,67,305
239,67,389
240,67,433
241,67,516
242,67,772
243,67,824
244,67,893
245,67,966
246,67,1531
247,67,1587
248,69,212
249,69,678
250,69,822
251,69,1066
252,69,1678
253,70,40
254,70,323
255,70,1091
256,70,1425
257,71,1655
258,72,1294
259,72,1438
260,74,1296
261,75,144
262,75,278
263,75,608
264,75,654
265,75,1147
266,75,1217
267,75,1290
268,76,930
269,76,1275
270,77,10
271,77,58
272,77,562
273,77,670
274,77,914
275,77,1340
276,77,1342
277,77,1724
278,77,1726
279,78,445
280,78,472
281,78,570
282,78,680
283,78,685
284,78,722
285,78,797
286,78,972
287,79,296
288,79,1063
289,80,1668
290,81,333
291,81,465
292,81,826
293,82,285
294,82,426
295,82,700
296,82,1151
297,82,1159
298,82,1162
299,82,1249
300,83,57
301,83,73
302,83,177
303,83,202
304,83,389
305,83,461
306,83,515
307,83,648
308,83,1023
309,86,1616
310,87,1614
311,88,20
312,88,315
313,88,677
314,88,705
315,88,706
316,88,733
317,88,795
318,88,836
319,88,925
320,88,1076
321,88,1538
322,88,1686
323,88,1706
324,89,73
325,89,316
326,89,389
327,89,466
328,89,519
329,89,535
330,89,715
331,89,951
332,89,997
333,89,1216
334,89,1547
335,90,250
336,90,409
337,90,1366
338,90,1649
339,91,68
340,91,296
341,91,316
342,91,393
343,91,435
344,91,531
345,91,532
346,91,535
347,91,625
348,91,759
349,91,1025
350,91,1064
351,91,1092
352,91,1136
353,91,1296
354,93,255
355,93,292
356,93,1027
357,93,1094
358,94,287
359,94,542
360,94,1279
361,94,1373
362,95,283
363,95,477
364,95,617
365,95,774
366,96,1702
367,98,343
368,99,165
369,99,306
370,99,886
371,102,608
372,102,803
373,102,1217
374,103,118
375,103,1615
376,104,469
377,104,644
378,104,646
379,104,1349
380,105,13
381,105,18
382,105,187
383,106,64
384,106,217
385,106,576
386,106,1358
387,107,318
388,107,1272
389,108,245
390,109,231
391,109,460
392,109,888
393,109,1354
394,110,81
395,110,155
396,110,333
397,110,507
398,110,859
399,111,293
400,111,1439
401,113,67
402,113,83
403,113,248
404,113,305
405,113,389
406,113,459
407,113,571
408,113,768
409,113,966
410,113,1437
411,113,1587
412,113,1743
413,114,329
414,114,369
415,114,604
416,114,693
417,114,814
418,114,823
419,114,1222
420,115,528
421,115,1150
422,115,1555
423,116,81
