,core,ligands
NESLAC,Ru,ligand0-0 ligand24-0 ligand27983-0
QUFHIL,Cd,ligand0-0 ligand0-0 ligand7926-0 ligand7926-0
XOXXIR,Pt,ligand0-0 ligand8072-0 ligand22062-0
XARRIS,Fe,ligand6-0 ligand6-0 ligand11-0 ligand11-0 ligand3356-0
UCIGUJ,Fe,ligand13274-0 ligand13274-0
NEMDIV,Ti,ligand0-0 ligand0-0 ligand22-0 ligand17231-0
WIJLAE,Fe,ligand362-0 ligand362-0 ligand1242-0 ligand1242-0
ESAQAQ,Au,ligand2011-0 ligand2011-0
QUJYIG,Pt,ligand0-0 ligand54-0 ligand325-0
QATGIF,Ru,ligand90-0 ligand90-0 ligand28717-0
TOXLEX,Ti,ligand0-0 ligand347-0 ligand347-0 ligand1001-0
XAGBIQ,Fe,ligand59-0 ligand59-0 ligand60-0 ligand7535-0
HABTUD,Cu,ligand0-0 ligand17573-0
ZAPCAY,Pt,ligand0-0 ligand0-0 ligand38264-0
MINXUE,Au,ligand28-0 ligand463-0
BUFTIH,Mo,ligand55-0 ligand55-0 ligand32145-0
NEXTIT,Zr,ligand36-0 ligand36-0 ligand9789-0 ligand9789-0
PIKJAY,Ir,ligand0-0 ligand52-0 ligand1788-0 ligand3118-0
SADXIH,Ru,ligand28-0 ligand2101-0 ligand2101-0 ligand12814-0
AQITEA,Pt,ligand17-0 ligand20-0 ligand20-0 ligand5388-0
VOWVAE,Fe,ligand11-0 ligand22-0 ligand28-0 ligand12602-0
GIWCIA,Ru,ligand6-0 ligand22-0 ligand91-0 ligand91-0
QIDNEX,Ni,ligand239-0 ligand20337-0
ZOQFIU,Pd,ligand29-0 ligand364-0 ligand364-0
COSJAW,Cu,ligand12-0 ligand12-0 ligand18880-0
UJALAT,Pt,ligand9976-0 ligand14896-0
GAJFON,Cd,ligand0-0 ligand0-0 ligand38273-0
KELREZ,Pd,ligand0-0 ligand0-0 ligand1857-0
ZOKROI,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand19273-0
FIVWIQ,Ti,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand12672-0 ligand12672-0
VESQIX,W,ligand11-0 ligand11-0 ligand11-0 ligand23985-0
KAKQAQ,Pd,ligand0-0 ligand0-0 ligand19664-0
ZACKUJ,Ti,ligand0-0 ligand0-0 ligand2734-0 ligand2734-0
HINTUU,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand1596-0
OWIWID,Ta,ligand36-0 ligand55-0 ligand18849-0 ligand18850-0
CAQZON,Mo,ligand55-0 ligand55-0 ligand97-0 ligand98-0
XIQQIZ,Y,ligand61-0 ligand61-0 ligand3934-0
VUSXUE,Cu,ligand1693-0
HUNZUN,Pt,ligand20-0 ligand36-0 ligand36-0 ligand864-0 ligand8638-0
FANVUO,Pt,ligand472-0 ligand888-0 ligand2094-0
FEPVII,Ru,ligand0-0 ligand24-0 ligand12917-0
CACMIC,Pt,ligand0-0 ligand1-0 ligand14658-0
UMISAK,Ni,ligand9477-0 ligand9477-0
MUBLED,Ru,ligand0-0 ligand669-0 ligand680-0
TOHCIF,Ir,ligand20-0 ligand61-0 ligand25869-0
JAYMUR,Pt,ligand8784-0 ligand8784-0
YONMIY,Pd,ligand1322-0
JUMJEJ,Ir,ligand0-0 ligand0-0 ligand1-0 ligand1-0 ligand11-0 ligand15179-0
QAYROA,Pd,ligand0-0 ligand24677-0
LIDXIJ,Ni,ligand32699-0 ligand32699-0
NEBBUS,Fe,ligand0-0 ligand0-0 ligand21822-0
KOJZEQ,Pd,ligand0-0 ligand0-0 ligand29611-0
WUCLOV,Pt,ligand221-0 ligand221-0 ligand2790-0 ligand2791-0
FUFHOD,Ni,ligand8346-1 ligand8346-1
GETSII,Co,ligand17611-0
DOTVOA,Cu,ligand14249-0
KUJSIU,Mo,ligand55-0 ligand55-0 ligand1567-0 ligand10720-0
RUHQOD,Pt,ligand0-0 ligand0-0 ligand37542-0 ligand37542-0
NENSUX,Ni,ligand23113-0
VIPHAE,Ta,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand107-0 ligand735-0
HUQSEU,Pd,ligand12-0 ligand12-0 ligand23581-0
LOWKAM,Zn,ligand29-0 ligand21108-0
UDACAG,Au,ligand14859-0 ligand14859-0
QELSUY,Re,ligand11-0 ligand11-0 ligand11-0 ligand636-0 ligand971-0
HAJLAG,Rh,ligand17-0 ligand36-0 ligand8725-0
KALVEA,Zr,ligand0-0 ligand68-0 ligand643-0 ligand28928-0
IGEXIC,Re,ligand0-0 ligand0-0 ligand55-0 ligand341-0 ligand855-0
DUYZAA,Ir,ligand484-0 ligand484-0 ligand18586-0
GOKTEG,Ru,ligand0-0 ligand680-0 ligand14835-0
EVAGEN,Rh,ligand0-0 ligand11-0 ligand11-0 ligand8269-0
XAMGIC,Zn,ligand2403-0 ligand13152-0
KOXVUQ,Au,ligand0-0 ligand0-0 ligand11928-0
ZAMKUX,Au,ligand0-0 ligand22499-0
FELVOL,Rh,ligand47-0 ligand47-0 ligand61-0 ligand24496-0
QAWGUR,Zn,ligand1519-0 ligand22752-0
QOJNOS,Pd,ligand0-0 ligand0-0 ligand7466-0
CAFLOO,Zr,ligand1442-0 ligand1442-0
TOLHEJ,Ni,ligand28-0 ligand22998-0
FEHJAE,Pd,ligand4-0 ligand4-0 ligand36882-0
NUXQAA,Mn,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand12060-0
KEVHOJ,Pd,ligand2683-0 ligand25348-0
BEWZIP,Co,ligand6-0 ligand6-0 ligand12-0 ligand22265-0
DETSAZ,Mo,ligand42-0 ligand55-0 ligand55-0 ligand32628-0
TUTMEA,Ni,ligand0-0 ligand0-0 ligand3656-0
TUHZAA,Ir,ligand11-0 ligand28-0 ligand28-0 ligand5177-0
EHOMOE,Mn,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand248-0
WEXPOF,Pt,ligand0-0 ligand0-0 ligand25371-0
HUNHII,Mn,ligand11-0 ligand11-0 ligand11-0 ligand349-0
LIRDAT,Re,ligand0-0 ligand11-0 ligand11-0 ligand11-0 ligand17835-0
LEKWEE,Cr,ligand11-0 ligand11-0 ligand11-0 ligand10216-0
MASVAD,Ni,ligand90-0 ligand90-0 ligand127-0 ligand127-0
DAYRAZ,Pd,ligand0-0 ligand27991-0
MUNTOE,Fe,ligand11-0 ligand11-0 ligand28-0 ligand9680-0
GETTOO,Pt,ligand28-0 ligand113-0 ligand2972-0
ALUVOT,Ni,ligand0-0 ligand2935-0
YAKCOF,Fe,ligand6-0 ligand6-0 ligand11-0 ligand1496-0 ligand31612-0
MUXXAG,Ni,ligand4715-0 ligand4715-0
TEYXUQ,Pd,ligand0-0 ligand0-0 ligand15502-0
ZEGJUQ,Fe,ligand61-0 ligand38313-0
CEHXIZ,Fe,ligand0-0 ligand0-0 ligand6581-0
OHUHEE,V,ligand55-0 ligand55-0 ligand32876-0
TUJPUJ,Co,ligand21765-0
HAXKAV,Ni,ligand20624-0
NUFNIN,Ru,ligand0-0 ligand11-0 ligand11-0 ligand91-0 ligand4935-0
DAHYIW,Hg,ligand20-0 ligand20-0 ligand14025-0
KUYNEX,Fe,ligand11-0 ligand11-0 ligand11-0 ligand18466-0
ERUWAS,Mo,ligand20-0 ligand20-0 ligand55-0 ligand55-0 ligand33961-0
YEMZEY,Pd,ligand0-0 ligand36-0 ligand11097-0
CEPMIT,Ti,ligand287-0 ligand287-0 ligand33282-0
VICBOZ,Au,ligand0-0 ligand6948-0 ligand6948-0
ROQGIN,Mo,ligand11-0 ligand11-0 ligand11-0 ligand28352-0
FBGLNI,Ni,ligand15384-0
TUDGUU,Zn,ligand0-0 ligand0-0 ligand18829-0 ligand18829-0
BAKKUX,Pt,ligand0-0 ligand18465-0
KUKNAG,Ir,ligand6-0 ligand6-0 ligand6-0 ligand6-0 ligand52-0 ligand937-0
HUFNUR,Co,ligand47-0 ligand47-0 ligand245-0 ligand245-0
MCENCO,Co,ligand54-0 ligand54-0 ligand17733-0
WODRAI,Ni,ligand35646-0
NAVPIJ,Pt,ligand0-0 ligand344-0 ligand28771-0
MUKBID,Pd,ligand1024-0 ligand1474-0
ECAMEE,Ir,ligand1196-0 ligand1196-0 ligand1196-0
WEZXAA,Ti,ligand11721-0 ligand11721-0
MEBYIE,Ni,ligand30577-0
VOMRAR,Pd,ligand16252-0 ligand16252-0
KEDFEF,Ni,ligand20-0 ligand20-0 ligand9420-0 ligand9420-0
XUSKUR,Ta,ligand0-0 ligand0-0 ligand0-0 ligand119-0 ligand172-0
EVUHUZ,Zr,ligand68-0 ligand68-0 ligand68-0 ligand33977-0
MONSOZ,Fe,ligand0-0 ligand0-0 ligand24533-0
JUQZED,Re,ligand11-0 ligand11-0 ligand11-0 ligand297-0 ligand5861-0
MIRJOP,Pt,ligand28-0 ligand115-0 ligand3879-0
IHUTIR,Ru,ligand0-0 ligand24-0 ligand20553-0
HESPOK,Zn,ligand24706-0
SIWHUC,Re,ligand20-0 ligand20-0 ligand28-0 ligand55-0 ligand35724-0
POZMUM,W,ligand22-0 ligand22-0 ligand1250-0
PUFQEM,Pt,ligand0-0 ligand0-0 ligand108-0
UYETIC,Ni,ligand0-0 ligand0-0 ligand30688-0
XOJHIN,Rh,ligand0-0 ligand191-0 ligand22482-0
KANPEU,Rh,ligand0-0 ligand0-0 ligand14396-0
WEDWOR,Co,ligand4917-0 ligand8872-0
BIJBAZ,Ni,ligand0-0 ligand0-0 ligand20056-0
NAJYEE,Pt,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand21044-0 ligand21044-0
ACILIH,V,ligand55-0 ligand55-0 ligand18284-0
ADAMAX,Ru,ligand0-0 ligand24-0 ligand59-0 ligand1952-0
XIRTID,Au,ligand0-0 ligand26383-0
SOYVUX,Ir,ligand6-0 ligand61-0 ligand31254-0
DIYXUE,Zn,ligand362-0 ligand362-0 ligand35692-0 ligand35692-0
WAJDOA,Co,ligand91-0 ligand1220-0 ligand1220-0 ligand10423-0
VIHSOX,Ru,ligand0-0 ligand680-0 ligand6387-0
VIZDIU,Ir,ligand0-0 ligand191-0 ligand8558-0
AVORIM,Au,ligand20-0 ligand1860-0
HABHEX,Zn,ligand0-0 ligand0-0 ligand0-0 ligand12007-0
PODPEF,Pt,ligand0-0 ligand0-0 ligand6238-0 ligand35822-0
ODUDIE,Zn,ligand15898-0 ligand15898-0
VEZXAA,Rh,ligand52-0 ligand396-0 ligand396-0 ligand9656-0
LEBYIE,Mn,ligand11-0 ligand11-0 ligand11-0 ligand20678-0 ligand29612-0
NEPNED,Pd,ligand0-0 ligand0-0 ligand4279-0
