,count
ligand32145-0,1
ligand27604-0,1
ligand33228-0,1
ligand16615-0,1
ligand28585-0,1
ligand33880-0,1
ligand19656-0,1
ligand34540-0,1
ligand23465-0,1
ligand19975-0,1
ligand20526-0,1
ligand11820-0,1
ligand4250-0,1
ligand3013-0,1
ligand36947-0,1
ligand29472-0,1
ligand27007-0,1
ligand9351-1,1
ligand11907-0,1
ligand34554-0,1
ligand14597-0,1
ligand34549-0,1
ligand5145-0,1
ligand22113-0,1
ligand30229-0,1
ligand6643-0,1
ligand3499-0,1
ligand38004-0,1
ligand13470-0,1
ligand5843-0,1
ligand30795-0,1
ligand2304-0,1
ligand26178-0,1
ligand34049-0,1
ligand17255-0,1
ligand23083-0,1
ligand27345-0,1
ligand10920-0,1
ligand7663-0,1
ligand947-0,1
ligand20344-0,1
ligand9400-0,1
ligand17384-0,1
ligand16627-0,1
ligand16190-0,1
ligand6101-0,1
ligand11552-0,1
ligand35788-0,1
ligand31736-0,1
ligand32952-0,1
ligand31976-0,1
ligand18326-0,1
ligand24796-0,1
ligand15192-0,1
ligand4500-0,1
ligand27824-0,1
ligand16880-0,1
ligand24634-0,1
ligand128-0,1
ligand33539-0,1
ligand21447-0,1
ligand12221-0,1
ligand28481-0,1
ligand20942-0,1
ligand36469-0,1
ligand14713-0,1
ligand2724-0,1
ligand38061-0,1
ligand25523-0,1
ligand16580-0,1
ligand36846-0,1
ligand31133-0,1
ligand17888-0,1
ligand31864-0,1
ligand2849-0,1
ligand25377-0,1
ligand71-0,1
ligand6882-0,1
ligand20549-0,1
ligand27485-0,1
ligand6065-0,1
ligand37154-0,1
ligand21869-0,1
ligand5214-0,1
ligand6681-0,1
ligand8623-0,1
ligand11257-0,1
ligand27399-0,1
ligand12044-0,1
ligand23383-0,1
ligand21696-0,1
ligand30985-0,1
ligand5058-0,1
ligand8733-0,1
ligand32727-0,1
ligand21912-0,1
ligand16579-0,1
ligand4623-0,1
ligand293-0,1
ligand6006-0,1
ligand35417-0,1
ligand23788-0,1
ligand18938-0,1
ligand9350-0,1
ligand20200-0,1
ligand523-0,1
ligand37411-0,1
ligand36210-0,1
ligand33409-0,1
ligand21267-0,1
ligand26331-0,1
ligand36249-0,1
ligand8687-0,1
ligand25908-0,1
ligand9760-0,1
ligand12310-0,1
ligand11771-0,1
ligand27417-0,1
ligand8839-0,1
ligand22723-0,1
ligand35245-0,1
ligand25815-0,1
ligand21188-0,1
ligand35523-0,1
ligand28469-0,1
ligand9268-0,1
ligand9949-0,1
ligand28973-0,1
ligand31784-0,1
ligand4606-0,1
ligand22916-0,1
ligand23301-0,1
ligand30156-0,1
ligand30241-0,1
ligand26310-0,1
ligand26607-0,1
ligand35164-0,1
ligand20442-0,1
ligand18628-0,1
ligand20929-0,1
ligand30647-0,1
ligand1529-0,1
ligand11650-0,1
ligand37654-0,1
ligand1097-0,1
ligand29744-0,1
ligand21677-0,1
ligand34922-0,1
ligand19702-0,1
ligand23894-0,1
ligand243-0,1
ligand25843-0,1
ligand25842-0,1
ligand27129-0,1
ligand22899-0,1
ligand19058-0,1
ligand6789-0,1
ligand34010-0,1
ligand1672-0,1
ligand6078-0,1
ligand14660-0,1
ligand33127-0,1
ligand3202-0,1
ligand3708-0,1
ligand4118-0,1
ligand20460-0,1
ligand13391-0,1
ligand25913-0,1
ligand31286-0,1
ligand28208-0,1
ligand12025-0,1
ligand540-0,1
ligand24860-0,1
ligand1131-0,1
ligand13504-0,1
ligand24787-0,1
ligand35899-0,1
ligand3886-0,1
ligand34064-0,1
ligand15705-0,1
ligand33731-0,1
ligand11127-0,1
ligand32851-0,1
ligand20000-0,1
ligand10562-0,1
ligand19802-0,1
ligand33223-0,1
ligand11168-0,1
ligand34769-0,1
ligand14698-0,1
ligand13378-0,1
ligand21064-0,1
ligand32288-0,1
ligand27554-0,1
ligand10993-0,1
ligand22622-0,1
ligand16921-0,1
ligand8494-0,1
ligand10518-0,1
ligand26263-0,1
ligand18351-0,1
ligand14450-0,1
ligand709-0,1
ligand1775-0,1
ligand7966-0,1
ligand29129-0,1
ligand11893-0,1
ligand8958-0,1
ligand22131-0,1
ligand23079-0,1
ligand25158-0,1
ligand25527-0,1
ligand21038-0,1
ligand37879-0,1
ligand18897-0,1
ligand19994-0,1
ligand16747-0,1
ligand23045-0,1
ligand729-0,1
ligand1258-0,1
ligand27762-0,1
ligand12070-0,1
ligand25910-0,1
ligand4137-0,1
ligand11858-0,1
ligand3820-0,1
ligand35944-0,1
ligand34591-0,1
ligand10640-0,1
ligand30495-0,1
ligand33435-0,1
ligand1080-0,1
ligand7293-0,1
ligand24712-0,1
ligand29947-0,1
ligand33356-0,1
ligand30520-0,1
ligand19886-0,1
ligand31233-0,1
ligand831-0,1
ligand19166-0,1
ligand29036-0,1
ligand11620-0,1
ligand16272-0,1
ligand30994-0,1
ligand27261-0,1
ligand25634-0,1
ligand33038-0,1
ligand11355-0,1
ligand18203-0,1
ligand182-0,1
ligand2966-0,1
ligand8788-0,1
ligand24992-0,1
ligand8239-0,1
ligand2282-0,1
ligand7612-0,1
ligand36575-0,1
ligand14463-0,1
ligand27370-0,1
ligand29629-0,1
ligand32532-0,1
ligand441-0,1
ligand28194-0,1
ligand19660-0,1
ligand23326-0,1
ligand17912-0,1
ligand2915-0,1
ligand31370-0,1
ligand13137-0,1
ligand37446-0,1
ligand28362-0,1
ligand5854-0,1
ligand28644-0,1
ligand30919-0,1
ligand29642-0,1
ligand3849-0,1
ligand16320-0,1
ligand8475-0,1
ligand411-0,1
ligand28110-0,1
ligand21160-0,1
ligand29121-0,1
ligand35783-0,1
ligand34400-0,1
ligand13660-0,1
ligand19611-0,1
ligand5194-1,1
ligand12055-0,1
ligand898-0,1
ligand19300-0,1
ligand14515-0,1
ligand13988-0,1
ligand27145-0,1
ligand4637-0,1
ligand38189-0,1
ligand29928-0,1
ligand15084-0,1
ligand299-0,1
ligand22074-0,1
ligand17217-0,1
ligand1860-0,1
ligand19552-0,1
ligand10200-0,1
ligand22831-0,1
ligand27629-0,1
ligand21981-0,1
ligand32373-0,1
ligand25365-0,1
ligand25717-0,1
ligand1320-0,1
ligand34507-0,1
ligand18951-0,1
ligand16968-0,1
ligand18279-0,1
ligand21980-0,1
ligand36494-0,1
ligand8479-0,1
ligand9473-0,1
ligand12844-0,1
ligand7120-0,1
ligand512-0,1
ligand16095-0,1
ligand3135-0,1
ligand22947-0,1
ligand25026-0,1
ligand16134-0,1
ligand19685-0,1
ligand30249-0,1
ligand20467-0,1
ligand14942-0,1
ligand18786-0,1
ligand2112-0,1
ligand29253-0,1
ligand36935-0,1
ligand36971-0,1
ligand18691-0,1
ligand13958-0,1
ligand12654-0,1
ligand38034-0,1
ligand8601-0,1
ligand1143-0,1
ligand23483-0,1
ligand2296-0,1
ligand19521-0,1
ligand35476-0,1
ligand33290-0,1
ligand34832-0,1
ligand21383-0,1
ligand4656-0,1
ligand17362-0,1
ligand38043-0,1
ligand2193-0,1
ligand17986-0,1
ligand14155-0,1
ligand33123-0,1
ligand22987-0,1
ligand2802-0,1
ligand21875-0,1
ligand907-0,1
ligand34780-0,1
ligand23348-0,1
ligand447-0,1
ligand28161-0,1
ligand31851-0,1
ligand29223-0,1
ligand25872-0,1
ligand11184-0,1
ligand5840-0,1
ligand2509-0,1
ligand9891-0,1
ligand31221-0,1
ligand13167-0,1
ligand37980-0,1
ligand33414-0,1
ligand2970-0,1
ligand17206-0,1
ligand20597-0,1
ligand24954-0,1
ligand2319-0,1
ligand3600-0,1
ligand15548-0,1
ligand25569-0,1
ligand28303-0,1
ligand14927-0,1
ligand7037-0,1
ligand4471-0,1
ligand33156-0,1
ligand31257-0,1
ligand29139-0,1
ligand21198-0,1
ligand37767-0,1
ligand16275-0,1
ligand1854-0,1
ligand23823-0,1
ligand20090-0,1
ligand13757-0,1
ligand3729-0,1
ligand2267-0,1
ligand14836-0,1
ligand30407-0,1
ligand1857-0,1
ligand6394-0,1
ligand28975-0,1
ligand14946-1,1
ligand22927-0,1
ligand5814-0,1
ligand19798-0,1
ligand9491-0,1
ligand17550-0,1
ligand19188-0,1
ligand4457-0,1
ligand32890-0,1
ligand17244-0,1
ligand5552-0,1
ligand5164-0,1
ligand4978-0,1
ligand18927-0,1
ligand2142-0,1
ligand11303-0,1
ligand18724-0,1
ligand22697-0,1
ligand24549-0,1
ligand17338-0,1
ligand16723-0,1
ligand508-0,1
ligand10656-0,1
ligand1799-0,1
ligand35084-0,1
ligand32922-0,1
ligand18713-0,1
ligand24020-0,1
ligand23268-0,1
ligand2345-0,1
ligand15910-0,1
ligand18530-0,1
ligand22572-0,1
ligand11718-0,1
ligand31036-0,1
ligand30334-0,1
ligand1421-0,1
ligand30559-0,1
ligand15458-0,1
ligand16099-0,1
ligand20438-0,1
ligand35133-0,1
ligand20695-0,1
ligand3946-0,1
ligand20731-0,1
ligand19329-0,1
ligand3118-0,1
ligand6952-0,1
ligand5806-0,1
ligand23478-0,1
ligand22292-0,1
ligand34055-0,1
ligand5621-0,1
ligand14004-0,1
ligand34313-0,1
ligand22094-0,1
ligand36769-0,1
ligand25739-0,1
ligand31848-0,1
ligand28235-0,1
ligand11912-0,1
ligand22739-0,1
ligand13203-0,1
ligand11968-0,1
ligand4165-0,1
ligand9511-0,1
ligand21918-0,1
ligand37796-0,1
ligand27570-0,1
ligand21639-0,1
ligand28342-0,1
ligand1993-0,1
ligand2954-0,1
ligand21718-0,1
ligand18737-0,1
ligand17970-0,1
ligand11084-0,1
ligand26652-0,1
ligand19900-0,1
ligand6894-0,1
ligand24973-0,1
ligand34984-0,1
ligand4748-0,1
ligand35606-0,1
ligand19189-0,1
ligand13027-0,1
ligand7427-0,1
ligand17818-0,1
ligand4331-0,1
ligand35279-0,1
ligand8178-0,1
ligand16925-0,1
ligand6529-0,1
ligand29829-0,1
ligand30397-0,1
ligand22543-0,1
ligand34378-0,1
ligand24631-1,1
ligand22051-0,1
ligand35081-0,1
ligand15095-0,1
ligand3482-0,1
ligand13644-0,1
ligand9360-0,1
ligand15942-0,1
ligand14014-0,1
ligand2783-0,1
ligand6652-0,1
ligand24138-0,1
