,count
ligand25729-0,1
ligand12142-0,1
ligand35382-0,1
ligand4134-0,1
ligand12710-0,1
ligand29098-0,1
ligand17349-0,1
ligand22966-0,1
ligand33649-0,1
ligand5630-0,1
ligand36247-0,1
ligand21262-0,1
ligand1941-0,1
ligand8323-0,1
ligand31503-0,1
ligand33145-0,1
ligand34831-0,1
ligand33280-0,1
ligand36845-0,1
ligand7952-0,1
ligand739-0,1
ligand1624-0,1
ligand10156-0,1
ligand16938-0,1
ligand9530-0,1
ligand38006-0,1
ligand34536-0,1
ligand15822-0,1
ligand20178-0,1
ligand22392-0,1
ligand32410-0,1
ligand7154-0,1
ligand19393-0,1
ligand37800-0,1
ligand6992-0,1
ligand28322-0,1
ligand24942-0,1
ligand4317-0,1
ligand12425-0,1
ligand11973-0,1
ligand11972-0,1
ligand26519-0,1
ligand12428-0,1
ligand19170-0,1
ligand23712-0,1
ligand28268-0,1
ligand7327-0,1
ligand2590-0,1
ligand24589-0,1
ligand30711-0,1
ligand1649-0,1
ligand33527-0,1
ligand27740-0,1
ligand36084-0,1
ligand14478-0,1
ligand21361-0,1
ligand11334-0,1
ligand31653-0,1
ligand31666-0,1
ligand6414-0,1
ligand1446-0,1
ligand12259-0,1
ligand33102-0,1
ligand978-0,1
ligand35628-0,1
ligand23448-0,1
ligand20803-0,1
ligand31831-0,1
ligand38010-0,1
ligand32687-0,1
ligand5456-0,1
ligand31409-0,1
ligand26946-0,1
ligand32838-0,1
ligand19614-0,1
ligand16769-0,1
ligand29940-0,1
ligand18846-0,1
ligand25582-0,1
ligand32720-0,1
ligand37883-0,1
ligand37135-0,1
ligand19086-0,1
ligand29082-0,1
ligand17511-0,1
ligand28293-0,1
ligand22676-0,1
ligand28495-0,1
ligand5534-0,1
ligand37534-0,1
ligand19914-0,1
ligand28442-0,1
ligand15599-0,1
ligand36642-0,1
ligand21509-0,1
ligand26793-0,1
ligand21556-0,1
ligand12918-0,1
ligand19298-0,1
ligand8956-0,1
ligand18147-0,1
ligand5459-0,1
ligand33770-0,1
ligand25324-0,1
ligand37781-0,1
ligand9335-0,1
ligand25952-0,1
ligand33100-0,1
ligand33099-0,1
ligand27048-0,1
ligand1578-0,1
ligand34435-0,1
ligand16624-0,1
ligand5686-0,1
ligand12640-0,1
ligand24205-0,1
ligand31540-0,1
ligand3548-0,1
ligand9343-0,1
ligand9044-0,1
ligand10652-0,1
ligand17952-0,1
ligand30216-0,1
ligand32828-0,1
ligand20853-0,1
ligand11587-0,1
ligand9492-0,1
ligand33322-0,1
ligand26173-0,1
ligand9040-0,1
ligand10633-0,1
ligand36480-0,1
ligand17350-0,1
ligand20265-0,1
ligand35322-0,1
ligand6260-0,1
ligand25700-0,1
ligand23031-0,1
ligand28427-0,1
ligand28372-0,1
ligand12734-0,1
ligand10874-0,1
ligand15872-0,1
ligand35456-0,1
ligand12419-0,1
ligand3190-0,1
ligand37223-0,1
ligand10764-0,1
ligand12646-0,1
ligand18703-0,1
ligand34007-0,1
ligand31248-0,1
ligand31779-0,1
ligand37626-0,1
ligand10781-0,1
ligand26973-0,1
ligand33314-0,1
ligand19714-0,1
ligand35209-0,1
ligand34235-0,1
ligand26229-0,1
ligand20487-0,1
ligand27894-0,1
ligand36481-0,1
ligand37034-0,1
ligand16219-0,1
ligand23332-0,1
ligand12971-0,1
ligand12970-0,1
ligand34807-0,1
ligand36726-0,1
ligand17873-0,1
ligand27606-0,1
ligand27605-0,1
ligand14965-0,1
ligand32307-0,1
ligand35340-0,1
ligand30765-0,1
ligand11098-0,1
ligand24238-0,1
ligand34593-0,1
ligand34030-0,1
ligand4618-0,1
ligand11322-0,1
ligand33031-0,1
ligand24638-0,1
ligand36817-0,1
ligand2961-0,1
ligand6847-0,1
ligand7627-0,1
ligand8959-0,1
ligand5564-0,1
ligand10488-0,1
ligand6738-0,1
ligand33644-0,1
ligand10724-0,1
ligand2586-0,1
ligand19046-0,1
ligand19392-0,1
ligand27666-0,1
ligand35922-0,1
ligand14163-0,1
ligand16518-0,1
ligand6486-0,1
ligand7587-0,1
ligand1734-0,1
ligand10719-0,1
ligand19152-0,1
ligand8049-0,1
ligand9292-0,1
ligand31381-0,1
ligand12016-0,1
ligand15647-0,1
ligand19426-0,1
ligand19810-0,1
ligand31765-0,1
ligand5060-0,1
ligand5575-0,1
ligand31719-0,1
ligand34582-0,1
ligand23615-0,1
ligand637-0,1
ligand2309-0,1
ligand34243-0,1
ligand35845-0,1
ligand32765-0,1
ligand12369-0,1
ligand34390-0,1
ligand10243-0,1
ligand28348-0,1
ligand22701-0,1
ligand2151-0,1
ligand12948-0,1
ligand32621-0,1
ligand25968-0,1
ligand16857-0,1
ligand17810-0,1
ligand8692-0,1
ligand1650-0,1
ligand32988-0,1
ligand7118-0,1
ligand8445-0,1
ligand2256-0,1
ligand4542-0,1
ligand30117-0,1
ligand24116-0,1
ligand34248-0,1
ligand32186-0,1
ligand34042-0,1
ligand34043-0,1
ligand8827-0,1
ligand29056-0,1
ligand10487-0,1
ligand26810-0,1
ligand14855-0,1
ligand9521-0,1
