,core,ligands
GUVWUP,Zr,ligand1-0 ligand48-0 ligand3641-0 ligand4291-0
WAPKOQ,Zn,ligand1-0 ligand24505-0
XIJDEA,Nb,ligand178-0 ligand178-0 ligand1576-0 ligand1576-0
OTOYAZ,Zn,ligand2406-0 ligand2406-0
QAJMIA,Au,ligand1-0 ligand6345-0
PIZCAF,Co,ligand3-0 ligand3-0 ligand19178-0
MUSNUJ,Ir,ligand3-0 ligand3-0 ligand250-0 ligand1258-0
RITCIG,Hf,ligand15305-0 ligand15306-0
REKTIL,Mn,ligand4-0 ligand4-0 ligand4-0 ligand12971-0
CPMXNI,Ni,ligand5499-0 ligand5499-0
NIHLOF,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand15847-0
JIRFUM,Fe,ligand29000-0
HUYROI,Tc,ligand67-0 ligand2461-0
IGULAY,Mn,ligand1-0 ligand941-0 ligand17194-0
OLAJOA,Pd,ligand384-0 ligand3743-0
ZUHNUN,Au,ligand1-0 ligand1-0 ligand1-0 ligand6057-0
ROHJOQ,Pd,ligand1-0 ligand8774-0 ligand9495-0
VOZHEZ,Pd,ligand1-0 ligand1-0 ligand1907-0
PIZZOO,Pt,ligand18-0 ligand18-0 ligand30816-0
VAVFAA,Co,ligand3463-0 ligand3463-0
MAZJAB,Pd,ligand1-0 ligand1-0 ligand4937-0 ligand4937-0
REKCIV,Ru,ligand45-0 ligand686-0 ligand18940-0
XATCEA,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand51-0 ligand51-0
UQAKII,Ni,ligand113-0 ligand305-0
FURGOQ,Pd,ligand1-0 ligand1-0 ligand29311-0
BIWDIV,Co,ligand21381-0 ligand21381-0
NUTLET,Hg,ligand3-0 ligand24585-0
BEJLEH,Hg,ligand40-0 ligand40-0 ligand188-0 ligand188-0
EHIBIG,Zn,ligand34-0 ligand34-0 ligand5946-0 ligand5946-0
OZOZUA,Cu,ligand1-0 ligand6856-0
RILSUC,Mo,ligand24-0 ligand24-0 ligand78-0 ligand19935-0
UCUNIS,Pt,ligand13602-0 ligand23099-0
NIYWAW,Re,ligand1-0 ligand4-0 ligand4-0 ligand4-0 ligand5206-0
SEHHES,Ni,ligand51-0 ligand1107-0
YEDXOX,Ir,ligand11-0 ligand11-0 ligand143-0 ligand5361-0
IYALEA,Cu,ligand421-0 ligand421-0 ligand1843-0
AKAROU,Mo,ligand830-0 ligand2692-0 ligand10357-0
