,count
ligand15847-0,1
ligand19725-0,1
ligand4766-0,1
ligand18760-0,1
ligand12641-0,1
ligand19830-0,1
ligand7742-0,1
ligand12726-0,1
ligand26548-0,1
ligand4324-0,1
ligand28133-0,1
ligand22276-0,1
ligand12003-0,1
ligand6661-0,1
ligand2438-0,1
ligand314-0,1
ligand27610-0,1
ligand17426-0,1
ligand8464-0,1
ligand27122-0,1
ligand17427-0,1
ligand2781-0,1
ligand15926-0,1
ligand1078-0,1
ligand13755-0,1
ligand4332-0,1
ligand9344-0,1
ligand659-0,1
ligand6112-0,1
ligand16424-0,1
ligand29014-0,1
ligand24953-0,1
ligand10476-0,1
ligand22036-0,1
ligand23124-0,1
ligand7162-0,1
ligand16475-0,1
ligand12218-0,1
ligand9883-0,1
ligand22755-0,1
ligand10371-0,1
ligand28810-0,1
ligand5962-0,1
ligand6023-0,1
ligand1197-0,1
ligand25411-0,1
ligand25267-0,1
ligand12336-0,1
ligand13665-0,1
ligand19660-0,1
ligand13710-0,1
ligand12682-0,1
ligand20432-0,1
ligand7092-0,1
ligand29410-0,1
ligand26665-0,1
ligand19790-0,1
ligand14339-0,1
ligand15788-0,1
ligand30886-0,1
ligand30609-0,1
ligand3565-0,1
ligand1618-0,1
ligand10582-0,1
ligand25048-0,1
ligand17945-0,1
ligand6993-0,1
ligand31843-0,1
ligand2417-0,1
ligand5770-0,1
ligand27150-0,1
ligand15133-0,1
ligand3557-0,1
ligand20635-0,1
ligand6919-0,1
ligand20931-0,1
ligand25938-0,1
ligand12640-0,1
ligand19514-0,1
ligand8864-0,1
ligand27315-0,1
ligand20814-0,1
ligand31400-0,1
ligand28383-0,1
ligand5765-0,1
ligand22869-0,1
ligand2976-1,1
ligand30775-0,1
ligand8462-0,1
ligand11841-0,1
ligand19520-0,1
ligand4897-0,1
ligand5789-0,1
ligand16263-0,1
ligand14505-0,1
ligand864-0,1
ligand12748-0,1
ligand23838-0,1
ligand25364-0,1
ligand17349-0,1
ligand23830-0,1
ligand20285-0,1
ligand15201-0,1
ligand19350-0,1
ligand14853-0,1
ligand25920-0,1
ligand7130-0,1
ligand1230-0,1
ligand5914-0,1
ligand20493-0,1
ligand27067-0,1
ligand20340-0,1
ligand1767-0,1
ligand24230-0,1
ligand30333-0,1
ligand7629-0,1
ligand5513-0,1
ligand17686-0,1
ligand16014-0,1
ligand1657-0,1
ligand4596-0,1
ligand4581-0,1
ligand31618-0,1
ligand6616-0,1
ligand24560-0,1
ligand28228-0,1
ligand27969-0,1
ligand10864-0,1
ligand12940-0,1
ligand26825-0,1
ligand25042-0,1
ligand24690-0,1
ligand16124-0,1
ligand10114-0,1
ligand16581-0,1
ligand16582-0,1
ligand15567-0,1
ligand11469-0,1
ligand4236-0,1
ligand5148-0,1
ligand14251-0,1
ligand17764-0,1
ligand9708-0,1
ligand12007-0,1
ligand14248-0,1
ligand14068-0,1
ligand27482-0,1
ligand5099-0,1
ligand1072-0,1
ligand20893-0,1
ligand30004-0,1
ligand2917-0,1
ligand16369-0,1
ligand27175-0,1
ligand10262-0,1
ligand24116-0,1
ligand9978-0,1
ligand1729-0,1
ligand1366-0,1
ligand21297-0,1
ligand20220-0,1
ligand20103-0,1
ligand6768-0,1
ligand30007-0,1
ligand30539-0,1
ligand23733-0,1
ligand6202-0,1
ligand29029-0,1
ligand7566-0,1
ligand29863-0,1
ligand10853-0,1
ligand13634-0,1
ligand26277-0,1
ligand12289-0,1
ligand28924-0,1
ligand17021-0,1
ligand31694-0,1
ligand20604-0,1
ligand3171-0,1
ligand6839-0,1
ligand23483-0,1
ligand14007-0,1
ligand24624-0,1
ligand26673-0,1
ligand6789-0,1
ligand13795-0,1
ligand21936-0,1
ligand2881-0,1
ligand13869-0,1
ligand17370-0,1
ligand26817-0,1
ligand18757-0,1
ligand31783-0,1
ligand3871-0,1
ligand12934-0,1
ligand20376-0,1
ligand17627-0,1
ligand3524-0,1
ligand29896-0,1
ligand5036-0,1
ligand17281-0,1
ligand17357-0,1
ligand12818-0,1
ligand16706-0,1
ligand20844-0,1
ligand29643-0,1
ligand11166-0,1
ligand16310-0,1
ligand5708-0,1
ligand23947-0,1
ligand5743-0,1
ligand11479-0,1
ligand31356-0,1
ligand20668-0,1
ligand8625-0,1
ligand17336-0,1
ligand21875-0,1
ligand22168-0,1
ligand17428-0,1
ligand16663-0,1
ligand21843-0,1
ligand18413-0,1
ligand14908-0,1
ligand2822-0,1
ligand17387-0,1
ligand17258-0,1
ligand20583-0,1
ligand17971-0,1
ligand12386-0,1
ligand13471-0,1
ligand11758-0,1
ligand22353-0,1
ligand22357-0,1
ligand18568-0,1
ligand29528-0,1
ligand17401-0,1
ligand1972-0,1
ligand29775-0,1
ligand8612-0,1
ligand3042-0,1
ligand9750-0,1
ligand3131-0,1
ligand21339-0,1
ligand11501-0,1
ligand15050-0,1
ligand30851-0,1
ligand10958-0,1
ligand13419-0,1
ligand29215-0,1
ligand17240-0,1
ligand21581-0,1
ligand17560-0,1
ligand712-0,1
ligand5813-0,1
ligand4091-0,1
ligand16133-0,1
ligand12337-0,1
ligand21940-0,1
ligand26044-0,1
