,count
ligand7223-0,1
ligand23610-0,1
ligand14031-0,1
ligand18996-0,1
ligand27167-0,1
ligand21043-0,1
ligand12625-0,1
ligand5558-0,1
ligand14583-0,1
ligand23299-0,1
ligand158-0,1
ligand14478-0,1
ligand9771-0,1
ligand10620-0,1
ligand19858-0,1
ligand13778-0,1
ligand18042-0,1
ligand5171-0,1
ligand16844-0,1
ligand26204-0,1
ligand10680-0,1
ligand5803-0,1
ligand11123-0,1
ligand7233-0,1
ligand5877-0,1
ligand21976-0,1
ligand16177-0,1
ligand11115-0,1
ligand7045-0,1
ligand23670-0,1
ligand660-0,1
ligand3240-0,1
ligand31061-0,1
ligand29867-0,1
ligand14234-0,1
ligand7129-0,1
ligand7526-0,1
ligand31128-0,1
ligand13644-0,1
ligand27778-0,1
ligand29609-0,1
ligand9091-0,1
ligand4026-0,1
ligand10097-0,1
ligand17629-0,1
ligand29445-0,1
ligand15658-0,1
ligand16119-0,1
ligand5258-0,1
ligand31717-0,1
ligand9486-0,1
ligand2969-0,1
ligand13693-0,1
ligand9537-0,1
ligand24392-0,1
ligand2531-0,1
ligand26141-0,1
ligand5365-0,1
ligand565-0,1
ligand7753-0,1
ligand15598-0,1
ligand19610-0,1
ligand4711-0,1
ligand17395-0,1
ligand17593-0,1
ligand24993-0,1
ligand29613-0,1
ligand5864-0,1
ligand23962-0,1
ligand27503-0,1
ligand12231-0,1
ligand11121-0,1
ligand9682-0,1
ligand13913-0,1
ligand16516-0,1
ligand23431-0,1
ligand27759-0,1
ligand29422-0,1
ligand25312-0,1
ligand1839-0,1
ligand22145-0,1
ligand24878-0,1
ligand20425-0,1
ligand12506-0,1
ligand28434-0,1
ligand11395-0,1
ligand26848-0,1
ligand4005-0,1
ligand1422-0,1
ligand18379-0,1
ligand20705-0,1
ligand20476-0,1
ligand25215-0,1
ligand24863-0,1
ligand30991-0,1
ligand22091-0,1
ligand8411-0,1
ligand18545-0,1
ligand17879-0,1
ligand4518-1,1
ligand4518-0,1
ligand28297-0,1
ligand30078-0,1
ligand30810-0,1
ligand8743-0,1
ligand15129-0,1
ligand17332-0,1
ligand29907-0,1
ligand4191-0,1
ligand24008-0,1
ligand22710-0,1
ligand21412-0,1
ligand5388-0,1
ligand7207-0,1
ligand30053-0,1
ligand30052-0,1
ligand5191-0,1
ligand28206-0,1
ligand4728-0,1
ligand9668-0,1
ligand28509-0,1
ligand23248-0,1
ligand2091-0,1
ligand13703-0,1
ligand13444-0,1
ligand22173-0,1
ligand13508-0,1
ligand15949-0,1
ligand27079-0,1
ligand2181-0,1
ligand30013-0,1
ligand23795-0,1
ligand31840-0,1
ligand10734-0,1
ligand5158-0,1
ligand15045-0,1
ligand6934-0,1
ligand5096-0,1
ligand10435-0,1
ligand7571-0,1
ligand29735-0,1
ligand30855-0,1
ligand25137-0,1
ligand9492-0,1
ligand5929-0,1
ligand7842-0,1
ligand12031-0,1
ligand3351-0,1
ligand10998-0,1
ligand27864-0,1
ligand12011-0,1
ligand27166-0,1
ligand27613-0,1
ligand2495-0,1
ligand17516-0,1
ligand4382-0,1
ligand10424-0,1
ligand276-0,1
ligand29119-0,1
ligand15718-0,1
ligand15250-0,1
ligand31175-0,1
ligand7946-0,1
ligand17911-0,1
ligand31448-0,1
ligand22088-0,1
ligand3892-0,1
ligand4334-0,1
ligand19146-0,1
ligand19145-0,1
ligand8957-0,1
ligand21897-0,1
ligand5263-0,1
ligand27549-0,1
ligand6666-0,1
ligand6667-0,1
ligand28793-0,1
ligand10535-0,1
ligand8935-0,1
ligand4888-0,1
ligand19331-0,1
ligand2092-0,1
ligand12249-0,1
ligand27443-0,1
ligand13810-0,1
ligand14926-0,1
ligand29792-0,1
ligand25767-0,1
ligand17232-0,1
ligand20881-0,1
ligand15451-0,1
ligand26315-0,1
ligand3882-0,1
ligand25612-0,1
ligand8445-0,1
ligand2536-0,1
ligand14033-0,1
ligand4372-0,1
ligand2164-0,1
ligand20591-0,1
ligand12369-0,1
ligand28476-0,1
ligand18195-0,1
ligand9579-0,1
ligand11808-0,1
ligand19572-0,1
ligand203-0,1
ligand23460-0,1
ligand18620-0,1
ligand28690-0,1
ligand4373-0,1
ligand18210-0,1
ligand16857-0,1
ligand2745-0,1
ligand28215-0,1
ligand26864-0,1
ligand5360-0,1
ligand16655-0,1
ligand4581-0,1
ligand11235-0,1
ligand10894-0,1
ligand8731-0,1
ligand22685-0,1
ligand26183-0,1
ligand667-0,1
ligand4909-0,1
ligand15693-0,1
ligand25436-0,1
ligand21508-0,1
ligand15068-0,1
ligand2979-0,1
ligand8291-0,1
ligand7511-0,1
ligand21127-0,1
ligand27448-0,1
ligand19263-0,1
ligand3477-0,1
ligand5818-0,1
ligand18112-0,1
ligand22907-0,1
ligand7017-0,1
ligand7575-0,1
ligand16752-0,1
ligand16751-0,1
ligand6354-0,1
ligand23831-0,1
ligand20370-0,1
ligand2793-0,1
ligand26905-0,1
ligand28701-0,1
ligand23569-0,1
ligand26700-0,1
ligand19080-0,1
ligand28537-0,1
ligand9793-0,1
ligand25604-0,1
ligand14641-0,1
ligand23112-0,1
ligand28012-0,1
ligand5560-0,1
ligand23627-0,1
ligand25353-0,1
ligand7884-0,1
ligand6081-0,1
ligand30154-0,1
ligand2187-0,1
ligand28820-0,1
ligand11261-0,1
ligand3640-0,1
ligand14491-0,1
ligand403-0,1
ligand30110-0,1
ligand20480-0,1
ligand19114-0,1
ligand19385-0,1
ligand8600-0,1
ligand19802-0,1
ligand5684-0,1
ligand12826-0,1
ligand21486-0,1
ligand25788-0,1
ligand27474-0,1
ligand25608-0,1
ligand12487-0,1
ligand7008-0,1
ligand23016-0,1
ligand20730-0,1
ligand12166-0,1
ligand7161-0,1
ligand10365-0,1
ligand11951-0,1
ligand24437-0,1
ligand28799-0,1
ligand27748-0,1
ligand7496-0,1
ligand4872-0,1
ligand4773-0,1
ligand23377-0,1
ligand18242-0,1
ligand22502-0,1
ligand18756-0,1
ligand31404-0,1
ligand7395-0,1
ligand5767-0,1
ligand3279-0,1
ligand10594-0,1
ligand25486-0,1
ligand28694-0,1
ligand8908-0,1
ligand12856-0,1
ligand4020-0,1
ligand29105-0,1
ligand15638-0,1
ligand20086-0,1
ligand11824-0,1
ligand5452-0,1
ligand14522-0,1
ligand9299-0,1
ligand7148-0,1
ligand3797-0,1
ligand20188-0,1
ligand5465-0,1
ligand5955-0,1
ligand11509-0,1
ligand21762-0,1
ligand20189-0,1
ligand17635-0,1
ligand11963-0,1
ligand2126-0,1
ligand30071-0,1
ligand10792-0,1
ligand27723-0,1
ligand12455-0,1
ligand12020-0,1
ligand20756-0,1
ligand18190-0,1
ligand20072-0,1
ligand22333-0,1
ligand2049-0,1
ligand11215-0,1
ligand2040-0,1
ligand2456-0,1
ligand12756-0,1
ligand27945-0,1
ligand19630-0,1
ligand16544-0,1
ligand316-0,1
ligand434-0,1
ligand5179-0,1
ligand25688-0,1
ligand30713-0,1
ligand10173-0,1
ligand25624-0,1
ligand14095-0,1
ligand16575-0,1
ligand11442-0,1
ligand28653-0,1
ligand14322-0,1
ligand1267-0,1
ligand19795-0,1
ligand12279-0,1
ligand2071-0,1
ligand10497-0,1
ligand28170-0,1
ligand23209-0,1
ligand11708-0,1
ligand31299-0,1
ligand27183-0,1
ligand22879-0,1
ligand26015-0,1
ligand2936-0,1
ligand23267-0,1
ligand16334-0,1
ligand16567-0,1
ligand10313-0,1
ligand17430-0,1
ligand2301-0,1
ligand11854-0,1
ligand3385-0,1
ligand21955-0,1
ligand27708-0,1
ligand28902-0,1
ligand14515-0,1
ligand11272-0,1
ligand6349-0,1
ligand19141-0,1
ligand10800-0,1
ligand27560-0,1
ligand25552-0,1
ligand17730-0,1
ligand9593-0,1
ligand25832-0,1
ligand10983-0,1
ligand3179-0,1
ligand2686-0,1
ligand11840-0,1
ligand30196-0,1
ligand15666-0,1
ligand23005-0,1
ligand1681-0,1
ligand25634-0,1
ligand17136-0,1
ligand9844-0,1
ligand1811-0,1
ligand1812-0,1
ligand269-0,1
ligand14986-0,1
ligand20005-0,1
ligand7596-0,1
ligand7597-0,1
ligand28956-0,1
ligand3872-0,1
ligand20434-0,1
ligand13416-0,1
ligand12907-0,1
ligand27790-0,1
ligand22317-0,1
ligand9024-0,1
ligand20746-0,1
ligand10494-0,1
ligand15498-0,1
ligand24184-0,1
ligand16990-0,1
ligand13967-0,1
ligand28426-0,1
ligand22986-0,1
ligand20041-0,1
ligand1552-0,1
ligand22134-0,1
ligand11057-0,1
ligand12165-0,1
ligand16472-0,1
ligand19278-0,1
ligand31074-0,1
ligand25585-0,1
ligand15268-0,1
ligand1068-0,1
ligand6410-0,1
ligand5491-0,1
ligand25772-0,1
ligand11439-0,1
ligand6215-0,1
ligand3359-0,1
ligand19290-0,1
ligand11964-0,1
ligand12446-0,1
ligand5335-0,1
ligand360-0,1
ligand10746-0,1
ligand8657-0,1
ligand2351-0,1
ligand27297-0,1
ligand12239-0,1
ligand29967-0,1
ligand20969-0,1
ligand558-0,1
ligand2132-0,1
ligand20932-0,1
ligand25372-0,1
ligand26154-0,1
ligand260-0,1
ligand17362-0,1
