,id,xyz,bo
0,NESLAC,1,1
1,QUFHIL,1,1
2,XOXXIR,3,3
3,XARRIS,2,2
4,UCIGUJ,2,2
5,NEMDIV,1,1
6,WIJLAE,2,2
7,ESAQAQ,3,3
8,QUJYIG,1,1
9,QATGIF,1,1
10,TOXLEX,1,1
11,XAGBIQ,2,2
12,HABTUD,1,1
13,ZAPCAY,1,1
14,MINXUE,3,3
15,BUFTIH,1,1
16,NEXTIT,1,1
17,PIKJAY,1,1
18,SADXIH,2,2
19,AQITEA,3,3
20,VOWVAE,2,2
21,GIWCIA,2,2
22,QIDNEX,3,3
23,ZOQFIU,3,3
24,COSJAW,3,3
25,UJALAT,3,3
26,GAJFON,3,3
27,KELREZ,3,3
28,ZOKROI,1,1
29,FIVWIQ,1,1
30,VESQIX,1,1
31,KAKQAQ,2,2
32,ZACKUJ,1,1
33,HINTUU,2,2
34,OWIWID,1,1
35,CAQZON,1,1
36,XIQQIZ,1,1
37,VUSXUE,3,3
38,HUNZUN,3,3
39,FANVUO,3,3
40,FEPVII,2,2
41,CACMIC,3,3
42,UMISAK,3,3
43,MUBLED,1,1
44,TOHCIF,2,2
45,JAYMUR,3,3
46,YONMIY,1,1
47,JUMJEJ,1,1
48,QAYROA,3,3
49,LIDXIJ,1,1
50,NEBBUS,2,2
51,KOJZEQ,3,3
52,WUCLOV,3,3
53,FUFHOD,3,3
54,GETSII,2,2
55,DOTVOA,3,3
56,KUJSIU,1,1
57,RUHQOD,1,1
58,NENSUX,3,3
59,VIPHAE,1,1
60,HUQSEU,1,1
61,LOWKAM,1,1
62,UDACAG,3,3
63,QELSUY,2,2
64,HAJLAG,2,2
65,KALVEA,1,1
66,IGEXIC,2,2
67,DUYZAA,2,2
68,GOKTEG,2,2
69,EVAGEN,2,2
70,XAMGIC,3,3
71,KOXVUQ,3,3
72,ZAMKUX,1,1
73,FELVOL,1,1
74,QAWGUR,3,3
75,QOJNOS,3,3
76,CAFLOO,1,1
77,TOLHEJ,3,3
78,FEHJAE,3,3
79,NUXQAA,2,2
80,KEVHOJ,3,3
81,BEWZIP,2,2
82,DETSAZ,1,1
83,TUTMEA,1,1
84,TUHZAA,1,1
85,EHOMOE,2,2
86,WEXPOF,3,3
87,HUNHII,2,2
88,LIRDAT,2,2
89,LEKWEE,2,2
90,MASVAD,3,3
91,DAYRAZ,3,3
92,MUNTOE,2,2
93,GETTOO,3,3
94,ALUVOT,3,3
95,YAKCOF,2,2
96,MUXXAG,3,3
97,TEYXUQ,3,3
98,ZEGJUQ,2,2
99,CEHXIZ,2,2
100,OHUHEE,1,1
101,TUJPUJ,2,2
102,HAXKAV,3,3
103,NUFNIN,2,2
104,DAHYIW,1,1
105,KUYNEX,2,2
106,ERUWAS,1,1
107,YEMZEY,3,3
108,CEPMIT,1,1
109,VICBOZ,3,3
110,ROQGIN,2,2
111,FBGLNI,3,3
112,TUDGUU,3,3
113,BAKKUX,1,1
114,KUKNAG,1,1
115,HUFNUR,2,2
116,MCENCO,2,2
117,WODRAI,3,3
118,NAVPIJ,2,2
119,MUKBID,3,3
120,ECAMEE,1,1
121,WEZXAA,1,1
122,MEBYIE,3,3
123,VOMRAR,3,3
124,KEDFEF,3,3
125,XUSKUR,1,1
126,EVUHUZ,1,1
127,MONSOZ,2,2
128,JUQZED,1,1
129,MIRJOP,3,3
130,IHUTIR,1,1
131,HESPOK,3,3
132,SIWHUC,2,2
133,POZMUM,1,1
134,PUFQEM,2,2
135,UYETIC,3,3
136,XOJHIN,2,2
137,KANPEU,2,2
138,WEDWOR,2,2
139,BIJBAZ,3,3
140,NAJYEE,3,3
141,ACILIH,1,1
142,ADAMAX,1,1
143,XIRTID,3,3
144,SOYVUX,2,2
145,DIYXUE,3,3
146,WAJDOA,2,2
147,VIHSOX,2,2
148,VIZDIU,2,2
149,AVORIM,3,3
150,HABHEX,1,1
151,PODPEF,3,3
152,ODUDIE,1,1
153,VEZXAA,2,2
154,LEBYIE,1,1
155,NEPNED,3,3
156,HAKCUR,2,2
157,WASGUS,3,3
158,RECNUJ,1,1
159,TILFAW,3,3
160,BISXUA,1,1
161,KOHRII,2,2
162,GIDPIW,1,1
163,AMEBOL,3,3
164,UZELIV,3,3
165,XEKGOJ,2,2
166,ANAVES,2,2
167,GUZVAY,2,2
168,HIDZEA,1,1
169,DADXOW,3,3
170,SEQRAI,3,3
171,PERPOU,3,3
172,ROKFUS,3,3
173,MEDZIF,3,3
174,AXOTAK,3,3
175,VEVPOC,3,3
176,QAHWIH,3,3
177,BEPMIT,3,3
178,YIMXEB,1,1
179,FIGGUY,3,3
180,ADUGOY,3,3
181,MOMHEC,1,1
182,XIXVOP,1,1
183,QETDOL,3,3
184,CIRPEZ,1,1
185,YUGCAH,1,1
186,NARGUM,1,1
187,IJEXIH,1,1
188,BICLOR,2,2
189,MERQAB,2,2
190,TILXIX,1,1
191,BAMTEP,1,1
192,EDIBAY,1,1
193,JOWYAV,1,1
194,XABZAC,3,3
195,QOGBEU,2,2
196,QAMHET,3,3
197,XEKWIV,3,3
198,WORKUJ,3,3
199,HEDVIV,1,1
200,EXEJAS,2,2
201,XEQSIV,1,1
202,DAYKOD,2,2
203,OMADIP,2,2
204,NADRUF,1,1
205,GILSIF,3,3
206,XORTAB,2,2
207,VIXROJ,2,2
208,JAHTAO,2,2
209,JUVJAN,2,2
210,DUMNEG,3,3
211,MOPLEJ,3,3
212,BOFDIM,3,3
213,FAHLUY,1,1
214,BOXLOS,1,1
215,KEVHAV,3,3
216,IDUXIQ,3,3
217,QUNWUU,1,1
218,NATXIQ,3,3
219,SUCGEC,2,2
220,UHEZEP,1,1
221,GENPAS,2,2
222,QARTAE,2,2
223,RAHYAC,2,2
224,NOCFOE,1,1
225,ICEWUJ,3,3
226,WIDLOK,2,2
227,SEBCUX,1,1
228,YIYBAK,3,3
229,VUGNES,3,3
230,IMOJUQ,1,1
231,GIQPAB,1,1
232,UFICAQ,3,3
233,QIFFET,2,2
234,GENGAI,3,3
235,HANGAH,2,2
236,MIVTUI,3,3
237,AFUCIO,3,3
238,FIMWAA,3,3
239,HIJDAH,2,2
240,VAPYOC,3,3
241,ZOMFAL,2,2
242,MIYWUQ,1,1
243,RIPZEY,2,2
244,KIHLET,3,3
245,INEWUV,3,3
246,UNIRAK,2,2
247,YOJVOJ,2,2
248,SAGVUS,1,1
249,SUYHUR,3,3
250,WUCLAJ,2,2
251,MUBLIG,1,1
252,RALROP,1,1
253,MUSGAJ,1,1
254,MUJHOP,3,3
255,UBEQEX,2,2
256,JIFPUM,1,1
257,JIHKAM,3,3
258,BAYYAC,2,2
259,WIYHOB,2,2
260,AQOYEM,3,3
261,EGUDAM,3,3
262,LIBGUA,3,3
263,ABZTMO,1,1
264,HANYIG,1,1
265,CUMBAP,3,3
266,CORNIG,1,1
267,WIQLIU,3,3
268,VEYJOY,3,3
269,QIWSEV,3,3
270,LANBIM,2,2
271,QOKMAE,3,3
272,ECOSAL,2,2
273,QAFNIX,2,2
274,ZOKRAU,2,2
275,BUPHOJ,1,1
276,ECIWEV,3,3
277,SISHEJ,1,1
278,EDOXAX,2,2
279,MAVPOR,3,3
280,IDEYIC,3,3
281,QUGWUN,1,1
282,HEYREK,1,1
283,RIRWUK,1,1
284,WUQLEB,3,3
285,UQIJOV,2,2
286,CEHDUR,3,3
287,BAVVUS,3,3
288,IJESUM,1,1
289,UHEJAS,1,1
290,NELLUN,2,2
291,ZIHRUG,2,2
292,IFIRIZ,3,3
293,RATPOS,2,2
294,ROSJUH,3,3
295,IWOFEH,2,2
296,BUJLOJ,3,3
297,KUYGAN,3,3
298,MIRDOH,2,2
299,PEZTEV,3,3
300,MIVQIT,2,2
301,BUCNUJ,3,3
302,CEKJEJ,3,3
303,FOWMAH,2,2
304,KOJSAG,1,1
305,AFAPIG,3,3
306,ZEQJAG,2,2
307,SOBZIW,1,1
308,DACCUG,2,2
309,FEJLOZ,1,1
310,MUCHOK,1,1
311,TOJYUM,2,2
312,HORCUP,3,3
313,WAQDEY,3,3
314,DIPMAT,3,3
315,GUHSUX,2,2
316,WOYQIM,3,3
317,YEGXOY,3,3
318,CUKVAI,1,1
319,XUJDUC,3,3
320,ZUJHIX,3,3
321,QUNBOT,1,1
322,BEHHAZ,3,3
323,UNEDEY,1,1
324,LELPOI,3,3
325,IKECIM,1,1
326,UZIVUX,1,1
327,FEKZUQ,1,1
328,OTUQIG,1,1
329,WUDWUQ,1,1
330,KUMDEE,1,1
331,OBELEP,2,2
332,QIGRED,2,2
333,FEDYUI,2,2
334,FOPSIN,3,3
335,RAQTUB,2,2
336,JOZRAU,1,1
337,FESTAZ,2,2
338,TEQGIH,3,3
339,LEVVUE,3,3
340,ZAYDIO,3,3
341,AKONAQ,3,3
342,TACCOS,3,3
343,IFIWUP,2,2
344,PAWKOQ,3,3
345,VILZUL,1,1
346,SOBTEL,2,2
347,MAPJAO,1,1
348,RAKRON,2,2
349,QAHPAR,3,3
350,PIGYUB,3,3
351,QOXGOZ,3,3
352,JUTNUJ,3,3
353,ABATIK,1,1
354,ASADAC,1,1
355,SOKSAN,1,1
356,ZIDFIF,1,1
357,FUNROW,1,1
358,RECKET,1,1
359,GITQEF,2,2
360,GIQGAO,1,1
361,UQUZOX,1,1
362,NAPCAI,1,1
363,NONVUH,1,1
364,KIQQUA,1,1
365,EQEPEX,1,1
366,PZRMSI,1,1
367,ASULUY,1,1
368,VUDKEM,3,3
369,LAPMEV,3,3
370,WACDAF,2,2
371,LIJDUG,1,1
372,PEFSEB,1,1
373,YILKOW,2,2
374,GUFDUG,2,2
375,PECKOX,1,1
376,DUKDAR,1,1
377,CALRUD,3,3
378,FEQLIA,1,1
379,WIHMIK,3,3
380,XIVMUL,3,3
381,COPQEE,2,2
382,DAQHAI,1,1
383,KIMCOC,1,1
384,TAWNEK,2,2
385,LIRCIY,1,1
386,DILDOS,3,3
387,WOBQOV,2,2
388,JENSOK,2,2
389,QURKAS,1,1
390,XOVFOD,3,3
391,IVEFAS,1,1
392,KIXSOA,2,2
393,MIBBIK,3,3
394,EPOWEM,3,3
395,EVUCIH,3,3
396,GUTCUV,3,3
397,OGETOK,3,3
398,XAHJUL,2,2
399,AXOTOW,2,2
400,YICXIS,1,1
401,IQIKAV,2,2
402,OQIPIO,1,1
403,ROLCED,2,2
404,COSTEL,2,2
405,RAMSUV,2,2
406,QENYOY,1,1
407,UHEFUL,1,1
408,YUGCOT,2,2
409,RIWZEG,1,1
410,JIDMAK,2,2
411,GEBQEL,2,2
412,DIVBUH,1,1
413,IWAHIA,1,1
414,FOPCOE,2,2
415,VOFCOL,3,3
416,QEFSEB,3,3
417,TOMYUS,3,3
418,FALKOU,3,3
419,MIJDUG,2,2
420,HOLBUG,3,3
421,JISBOC,2,2
422,SOMPAM,3,3
423,EHIYAW,2,2
424,COBQAM,2,2
425,AKEKAC,1,1
426,CAKPOV,3,3
427,EQEYOR,1,1
428,SEVLEL,3,3
429,FEDREO,2,2
430,DOVPAI,1,1
431,UYEMIV,3,3
432,HOXDON,2,2
433,ULUQIB,1,1
434,JAWXAJ,2,2
435,VUMKEV,1,1
436,WABNIY,2,2
437,IQAXED,1,1
438,CEJYAT,3,3
439,FISFEU,3,3
440,DAMVOC,3,3
441,GUPDOM,1,1
442,VEZQEW,1,1
443,BUTZOG,3,3
444,DOYZID,1,1
445,KIVTIU,2,2
446,MAQPOL,3,3
447,RUWJOL,1,1
448,XOSYAG,3,3
449,FAHNOU,3,3
450,EDOQIZ,3,3
451,EWEYEK,3,3
452,BACZEM,1,1
453,PEPHIE,2,2
454,TAQZER,3,3
455,AHETEO,1,1
456,PAPBER,1,1
457,CEWSON,2,2
458,JOCJOB,3,3
459,MAXNEG,2,2
460,KEHYEB,2,2
461,GAWBAL,1,1
462,YELKAE,3,3
463,AGUJOC,3,3
464,MOVZEF,1,1
465,APIDAG,2,2
466,NAYVOA,3,3
467,EFUSON,2,2
468,YIGCUN,1,1
469,QEVYAS,1,1
470,PUBJUS,1,1
471,DIVNUR,1,1
472,QUJRAP,2,2
473,WIBMAV,2,2
474,NASMEC,2,2
475,OFUREN,3,3
476,RAMSAD,1,1
477,MOHPUW,3,3
478,PADZAY,3,3
479,GEKTOG,2,2
480,KAWSEI,3,3
481,WEYVIH,3,3
482,KAFMUZ,2,2
483,YOGQAO,3,3
484,BEKHIK,1,1
485,EMUSEK,3,3
486,RECNOD,3,3
487,RUPHAL,3,3
488,WIGLEE,3,3
489,AROZEO,1,1
490,BIJWAU,3,3
491,KOCDUC,1,1
492,ZADBEP,1,1
493,JAJNIV,1,1
494,UDOVAM,2,2
495,VEXKAM,3,3
496,ZABFAJ,3,3
497,OWAHAX,1,1
498,IGURAF,2,2
499,REJGEU,2,2
500,IYANUU,1,1
501,BAGXUF,2,2
502,SUQROO,1,1
503,LODMAT,2,2
504,UQUTUY,1,1
505,SICKIY,3,3
506,BODWIA,3,3
507,MUFKEF,3,3
508,DAYKUJ,3,3
509,SAQJIH,1,1
510,KOQTUH,3,3
511,GEPZEG,2,2
512,SOSJAM,3,3
513,RASKOM,1,1
514,ODUCUM,3,3
515,WEFZEN,3,3
516,VIQWIB,3,3
517,ROWCUE,1,1
518,QOMNUC,3,3
519,IBAWEQ,1,1
520,YEDHAT,1,1
521,UWIQEX,3,3
522,MINZUG,1,1
523,RANHIB,1,1
524,NECHEJ,2,2
525,QUGGEH,1,1
526,DUSSOB,2,2
527,BEBQEF,2,2
528,CATKUG,2,2
529,FIKQIZ,3,3
530,CEKFEG,3,3
531,CENPAN,1,1
532,NESNAA,3,3
533,YAQPUE,1,1
534,BOCGOT,1,1
535,BOXWOD,1,1
536,HINSIJ,2,2
537,PAWGOK,3,3
538,UVOWAE,3,3
539,FEQPOG,3,3
540,QEFXAA,3,3
541,WOYSEL,1,1
542,VIMWOG,2,2
543,HAQNEV,2,2
544,PEBQUI,1,1
545,VOJWEW,3,3
546,GANCUW,1,1
547,SEJGEU,1,1
548,TAHYIM,3,3
549,NOCSAA,3,3
550,YAVBIK,1,1
551,ERUYUN,2,2
552,HIYKEG,2,2
553,QUBJUS,2,2
554,SUBFIH,1,1
555,GIQKAU,3,3
556,ODIXEE,2,2
557,CITHIZ,1,1
558,WENPOU,3,3
559,TEMRAI,1,1
560,HABCOG,1,1
561,ZOWNAA,2,2
562,SAYLUD,1,1
563,KIRDEY,1,1
564,GAMMEO,3,3
565,QOJLOQ,2,2
566,VACSUN,2,2
567,PASLAX,2,2
568,CINRAU,2,2
569,KIBLOA,1,1
570,IFOMOH,3,3
571,JEZNUB,1,1
572,OHERIC,3,3
573,YUNQEE,1,1
574,XIWNAT,2,2
575,HUMFAW,3,3
576,WUVPAE,3,3
577,YUHBAE,3,3
578,BOSFOF,2,2
579,YAKFIB,3,3
580,SOKVIA,3,3
581,CUWDON,1,1
582,XEVFIP,1,1
583,NELBOX,3,3
584,QAGVIE,3,3
585,UGIJEB,3,3
586,DOFCIN,1,1
587,EXIGIB,1,1
588,WIPZED,3,3
589,XAPFON,1,1
590,BUSVOC,2,2
