,id,xyz,bo
0,XOXXIR,3,3
1,XARRIS,2,2
2,UCIGUJ,2,2
3,NEMDIV,1,1
4,WIJLAE,2,2
5,ESAQAQ,3,3
6,TOXLEX,1,1
7,XAGBIQ,2,2
8,MINXUE,3,3
9,BUFTIH,1,1
10,NEXTIT,1,1
11,SADXIH,2,2
12,AQITEA,3,3
13,VOWVAE,2,2
14,GIWCIA,2,2
15,QIDNEX,3,3
16,ZOQFIU,3,3
17,COSJAW,3,3
18,UJALAT,3,3
19,GAJFON,3,3
20,KELREZ,3,3
21,ZOKROI,1,1
22,FIVWIQ,1,1
23,KAKQAQ,2,2
24,ZACKUJ,1,1
25,HINTUU,2,2
26,XIQQIZ,1,1
27,VUSXUE,3,3
28,HUNZUN,3,3
29,FANVUO,3,3
30,FEPVII,2,2
31,CACMIC,3,3
32,UMISAK,3,3
33,TOHCIF,2,2
34,JAYMUR,3,3
35,QAYROA,3,3
36,NEBBUS,2,2
37,KOJZEQ,3,3
38,WUCLOV,3,3
39,FUFHOD,3,3
40,GETSII,2,2
41,DOTVOA,3,3
42,NENSUX,3,3
43,UDACAG,3,3
44,QELSUY,2,2
45,HAJLAG,2,2
46,KALVEA,1,1
47,IGEXIC,2,2
48,GOKTEG,2,2
49,EVAGEN,2,2
50,XAMGIC,3,3
51,KOXVUQ,3,3
52,QAWGUR,3,3
53,QOJNOS,3,3
54,TOLHEJ,3,3
55,FEHJAE,3,3
56,NUXQAA,2,2
57,KEVHOJ,3,3
58,BEWZIP,2,2
59,DETSAZ,1,1
60,EHOMOE,2,2
61,WEXPOF,3,3
62,HUNHII,2,2
63,LIRDAT,2,2
64,LEKWEE,2,2
65,MASVAD,3,3
66,DAYRAZ,3,3
67,MUNTOE,2,2
68,GETTOO,3,3
69,ALUVOT,3,3
70,YAKCOF,2,2
71,MUXXAG,3,3
72,TEYXUQ,3,3
73,ZEGJUQ,2,2
74,CEHXIZ,2,2
75,OHUHEE,1,1
76,TUJPUJ,2,2
77,HAXKAV,3,3
78,NUFNIN,2,2
79,KUYNEX,2,2
80,YEMZEY,3,3
81,CEPMIT,1,1
82,VICBOZ,3,3
83,ROQGIN,2,2
84,FBGLNI,3,3
85,TUDGUU,3,3
86,HUFNUR,2,2
87,MCENCO,2,2
88,WODRAI,3,3
89,NAVPIJ,2,2
90,MUKBID,3,3
91,WEZXAA,1,1
92,MEBYIE,3,3
93,VOMRAR,3,3
94,KEDFEF,3,3
95,XUSKUR,1,1
96,NAYSIR,1,1
97,EVUHUZ,1,1
98,MONSOZ,2,2
99,MIRJOP,3,3
100,HESPOK,3,3
101,SIWHUC,2,2
102,POZMUM,1,1
103,PUFQEM,2,2
104,UYETIC,3,3
105,KANPEU,2,2
106,WEDWOR,2,2
107,BIJBAZ,3,3
108,NAJYEE,3,3
109,ACILIH,1,1
110,XIRTID,3,3
111,SOYVUX,2,2
112,DIYXUE,3,3
113,WAJDOA,2,2
114,VIHSOX,2,2
115,AVORIM,3,3
116,PODPEF,3,3
117,VEZXAA,2,2
118,NEPNED,3,3
119,HAKCUR,2,2
120,WASGUS,3,3
121,TILFAW,3,3
122,KOHRII,2,2
123,AMEBOL,3,3
124,UZELIV,3,3
125,XEKGOJ,2,2
126,ANAVES,2,2
127,GUZVAY,2,2
128,HIDZEA,1,1
129,DADXOW,3,3
130,SEQRAI,3,3
131,PERPOU,3,3
132,ROKFUS,3,3
133,MEDZIF,3,3
134,AXOTAK,3,3
135,VEVPOC,3,3
136,QAHWIH,3,3
137,BEPMIT,3,3
138,FIGGUY,3,3
139,ADUGOY,3,3
140,XIXVOP,1,1
141,QETDOL,3,3
142,BICLOR,2,2
143,MERQAB,2,2
144,TILXIX,1,1
145,BAMTEP,1,1
146,JOWYAV,1,1
147,XABZAC,3,3
148,QOGBEU,2,2
149,QAMHET,3,3
150,XEKWIV,3,3
151,WORKUJ,3,3
152,HEDVIV,1,1
153,EXEJAS,2,2
154,XEQSIV,1,1
155,DAYKOD,2,2
156,NADRUF,1,1
157,GILSIF,3,3
158,XORTAB,2,2
159,VIXROJ,2,2
160,JAHTAO,2,2
161,JUVJAN,2,2
162,DUMNEG,3,3
163,MOPLEJ,3,3
164,BOFDIM,3,3
165,FAHLUY,1,1
166,KEVHAV,3,3
167,IDUXIQ,3,3
168,NATXIQ,3,3
169,SUCGEC,2,2
170,GENPAS,2,2
171,QARTAE,2,2
172,RAHYAC,2,2
173,ICEWUJ,3,3
174,WIDLOK,2,2
175,SEBCUX,1,1
176,YIYBAK,3,3
177,VUGNES,3,3
178,UFICAQ,3,3
179,QIFFET,2,2
180,GENGAI,3,3
181,HANGAH,2,2
182,MIVTUI,3,3
183,AFUCIO,3,3
184,FIMWAA,3,3
185,HIJDAH,2,2
186,VAPYOC,3,3
187,ZOMFAL,2,2
188,RIPZEY,2,2
189,KIHLET,3,3
190,INEWUV,3,3
191,UNIRAK,2,2
192,YOJVOJ,2,2
193,SAGVUS,1,1
194,SUYHUR,3,3
195,WUCLAJ,2,2
196,MUBLIG,1,1
197,MUSGAJ,1,1
198,MUJHOP,3,3
199,UBEQEX,2,2
200,JIFPUM,1,1
201,JIHKAM,3,3
202,BAYYAC,2,2
203,WIYHOB,2,2
204,AQOYEM,3,3
205,EGUDAM,3,3
206,LIBGUA,3,3
207,HANYIG,1,1
208,CUMBAP,3,3
209,CORNIG,1,1
210,WIQLIU,3,3
211,VEYJOY,3,3
212,QIWSEV,3,3
213,LANBIM,2,2
214,QOKMAE,3,3
215,ECOSAL,2,2
216,QAFNIX,2,2
217,ZOKRAU,2,2
218,ECIWEV,3,3
219,SISHEJ,1,1
220,EDOXAX,2,2
221,MAVPOR,3,3
222,IDEYIC,3,3
223,RIRWUK,1,1
224,WUQLEB,3,3
225,UQIJOV,2,2
226,CEHDUR,3,3
227,BAVVUS,3,3
228,IJESUM,1,1
229,UHEJAS,1,1
230,NELLUN,2,2
231,ZIHRUG,2,2
232,IFIRIZ,3,3
233,RATPOS,2,2
234,ROSJUH,3,3
235,IWOFEH,2,2
236,BUJLOJ,3,3
237,KUYGAN,3,3
238,MIRDOH,2,2
239,PEZTEV,3,3
240,MIVQIT,2,2
241,BUCNUJ,3,3
242,CEKJEJ,3,3
243,FOWMAH,2,2
244,AFAPIG,3,3
245,ZEQJAG,2,2
246,DACCUG,2,2
247,TOJYUM,2,2
248,HORCUP,3,3
249,WAQDEY,3,3
250,DIPMAT,3,3
251,GUHSUX,2,2
252,WOYQIM,3,3
253,YEGXOY,3,3
254,XUJDUC,3,3
255,ZUJHIX,3,3
256,BEHHAZ,3,3
257,LELPOI,3,3
258,FEKZUQ,1,1
259,OBELEP,2,2
260,QIGRED,2,2
261,FEDYUI,2,2
262,FOPSIN,3,3
263,RAQTUB,2,2
264,FESTAZ,2,2
265,TEQGIH,3,3
266,LEVVUE,3,3
267,ZAYDIO,3,3
268,AKONAQ,3,3
269,TACCOS,3,3
270,IFIWUP,2,2
271,PAWKOQ,3,3
272,SOBTEL,2,2
273,RAKRON,2,2
274,QAHPAR,3,3
275,PIGYUB,3,3
276,QOXGOZ,3,3
277,JUTNUJ,3,3
278,SOKSAN,1,1
279,GITQEF,2,2
280,GIQGAO,1,1
281,NAPCAI,1,1
282,NONVUH,1,1
283,EQEPEX,1,1
284,PZRMSI,1,1
285,VUDKEM,3,3
286,LAPMEV,3,3
287,WACDAF,2,2
288,PEFSEB,1,1
289,YILKOW,2,2
290,GUFDUG,2,2
291,PECKOX,1,1
292,CALRUD,3,3
293,WIHMIK,3,3
294,XIVMUL,3,3
295,COPQEE,2,2
296,TAWNEK,2,2
297,LIRCIY,1,1
298,DILDOS,3,3
299,JENSOK,2,2
300,XOVFOD,3,3
301,KIXSOA,2,2
302,MIBBIK,3,3
303,EPOWEM,3,3
304,EVUCIH,3,3
305,GUTCUV,3,3
306,OGETOK,3,3
307,XAHJUL,2,2
308,AXOTOW,2,2
309,YICXIS,1,1
310,IQIKAV,2,2
311,ROLCED,2,2
312,COSTEL,2,2
313,RAMSUV,2,2
314,QENYOY,1,1
315,YUGCOT,2,2
316,JIDMAK,2,2
317,DIVBUH,1,1
318,FOPCOE,2,2
319,VOFCOL,3,3
320,QEFSEB,3,3
321,TOMYUS,3,3
322,FALKOU,3,3
323,MIJDUG,2,2
324,HOLBUG,3,3
325,JISBOC,2,2
326,SOMPAM,3,3
327,COBQAM,2,2
328,CAKPOV,3,3
329,SEVLEL,3,3
330,FEDREO,2,2
331,UYEMIV,3,3
332,HOXDON,2,2
333,ULUQIB,1,1
334,JAWXAJ,2,2
335,VUMKEV,1,1
336,WABNIY,2,2
337,IQAXED,1,1
338,CEJYAT,3,3
339,FISFEU,3,3
340,DAMVOC,3,3
341,GUPDOM,1,1
342,VEZQEW,1,1
343,BUTZOG,3,3
344,KIVTIU,2,2
345,JOJTEI,2,2
346,MAQPOL,3,3
347,XOSYAG,3,3
348,FAHNOU,3,3
349,EDOQIZ,3,3
350,EWEYEK,3,3
351,BACZEM,1,1
352,PEPHIE,2,2
353,TAQZER,3,3
354,CEWSON,2,2
355,JOCJOB,3,3
356,MAXNEG,2,2
357,KEHYEB,2,2
358,YELKAE,3,3
359,AGUJOC,3,3
360,APIDAG,2,2
361,NAYVOA,3,3
362,EFUSON,2,2
363,YIGCUN,1,1
364,QEVYAS,1,1
365,PUBJUS,1,1
366,DIVNUR,1,1
367,QUJRAP,2,2
368,WIBMAV,2,2
369,NASMEC,2,2
370,OFUREN,3,3
371,MOHPUW,3,3
372,PADZAY,3,3
373,GEKTOG,2,2
374,KAWSEI,3,3
375,WEYVIH,3,3
376,KAFMUZ,2,2
377,YOGQAO,3,3
378,BEKHIK,1,1
379,EMUSEK,3,3
380,RECNOD,3,3
381,RUPHAL,3,3
382,WIGLEE,3,3
383,AROZEO,1,1
384,BIJWAU,3,3
385,KOCDUC,1,1
386,UDOVAM,2,2
387,VEXKAM,3,3
388,ZABFAJ,3,3
389,OWAHAX,1,1
390,IGURAF,2,2
391,REJGEU,2,2
392,BAGXUF,2,2
393,LODMAT,2,2
394,SICKIY,3,3
395,BODWIA,3,3
396,MUFKEF,3,3
397,DAYKUJ,3,3
398,KOQTUH,3,3
399,GEPZEG,2,2
400,SOSJAM,3,3
401,RASKOM,1,1
402,ODUCUM,3,3
403,WEFZEN,3,3
404,VIQWIB,3,3
405,QOMNUC,3,3
406,IBAWEQ,1,1
407,YEDHAT,1,1
408,UWIQEX,3,3
409,NECHEJ,2,2
410,DUSSOB,2,2
411,BEBQEF,2,2
412,CATKUG,2,2
413,FIKQIZ,3,3
414,CEKFEG,3,3
415,CENPAN,1,1
416,NESNAA,3,3
417,YAQPUE,1,1
418,HINSIJ,2,2
419,PAWGOK,3,3
420,UVOWAE,3,3
